                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   40121650 |   40120140 |   40120897 |   40117017 |   40112512 |   40108549
  Cycles                             |   80601458 |   80601458 |   80601458 |   80601458 |   80601458 |   80601458
  IPC                                |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50
  Time (ns)                          |   30301300 |   30301300 |   30301300 |   30301300 |   30301300 |   30301300
  Idle time (ns)                     |        -59 |        -33 |        278 |        -59 |        -33 |        -15
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |   10022008 |   10021777 |   10021927 |   10020998 |   10019871 |   10018883
  num incorrect                      |       1517 |       1441 |       1454 |       1441 |       1441 |       1441
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |      15334 |      15165 |      15190 |      15165 |      15165 |      15165
    num misses                       |         52 |         48 |         49 |         48 |         48 |         48
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |      40218 |      39839 |      39924 |      39839 |      39839 |      39839
    num misses                       |         76 |         75 |         75 |         75 |         75 |         75
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |        128 |        123 |        124 |        123 |        123 |        123
    num misses                       |        121 |        116 |        117 |        116 |        116 |        116
    miss rate                        |     94.53% |     94.31% |     94.35% |     94.31% |     94.31% |     94.31%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |      15334 |      15165 |      15190 |      15165 |      15165 |      15165
    num cache misses                 |       4875 |       4776 |       4740 |       4743 |       4715 |       4575
    miss rate                        |     31.79% |     31.49% |     31.20% |     31.28% |     31.09% |     30.17%
    mpki                             |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.11
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |      40218 |      39839 |      39924 |      39839 |      39839 |      39839
    num cache misses                 |       4260 |       4195 |       4226 |       4198 |       4103 |       4095
    miss rate                        |     10.59% |     10.53% |     10.59% |     10.54% |     10.30% |     10.28%
    mpki                             |       0.11 |       0.10 |       0.11 |       0.10 |       0.10 |       0.10
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |       9169 |       9002 |       8999 |       8972 |       8850 |       8702
    num cache misses                 |       3624 |       3509 |       3539 |       3491 |       3509 |       3495
    miss rate                        |     39.52% |     38.98% |     39.33% |     38.91% |     39.65% |     40.16%
    mpki                             |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |       3661 |       3546 |       3575 |       3526 |       3544 |       3530
    num cache misses                 |       2478 |       2414 |       2429 |       2414 |       2414 |       2413
    miss rate                        |     67.69% |     68.08% |     67.94% |     68.46% |     68.12% |     68.36%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      14566 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      77.38 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      23.95 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       1142 |       1135 |       1133 |       1141 |       1137 |       1132
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
