                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |      90588 |      88553 |      84875 |      86799 |      84823 |      83370 |      83096 |      83988 |      88223
  Cycles                             |     675374 |     675374 |     675374 |     675374 |     675374 |     675374 |     675374 |     675374 |     675374
  IPC                                |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.12 |       0.12 |       0.12 |       0.13
  Time (ns)                          |     253900 |     253900 |     253900 |     253900 |     253900 |     253900 |     253900 |     253900 |     253900
  Idle time (ns)                     |        -30 |         93 |         53 |         33 |         52 |          5 |         52 |         69 |        -30
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |      19646 |      19279 |      18544 |      18928 |      18533 |      18243 |      18188 |      18367 |      19214
  num incorrect                      |       1085 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046
  misprediction rate                 |      5.23% |      5.15% |      5.34% |      5.24% |      5.34% |      5.42% |      5.44% |      5.39% |      5.16%
  mpki                               |      11.98 |      11.81 |      12.32 |      12.05 |      12.33 |      12.55 |      12.59 |      12.45 |      11.86
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |       4859 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798
    num misses                       |         45 |         42 |         42 |         42 |         42 |         42 |         42 |         42 |         42
    miss rate                        |      0.93% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88%
    mpki                             |       0.50 |       0.47 |       0.49 |       0.48 |       0.50 |       0.50 |       0.51 |       0.50 |       0.48
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      69729 |      67580 |      63167 |      65476 |      63105 |      61364 |      61032 |      62106 |      67169
    num misses                       |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.23 |       0.24 |       0.25 |       0.24 |       0.25 |       0.25 |       0.25 |       0.25 |       0.24
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |         66 |         63 |         63 |         63 |         63 |         63 |         63 |         63 |         63
    num misses                       |         66 |         63 |         63 |         63 |         63 |         63 |         63 |         63 |         63
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.73 |       0.71 |       0.74 |       0.73 |       0.74 |       0.76 |       0.76 |       0.75 |       0.71
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |       4859 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798
    num cache misses                 |       1575 |       1521 |       1557 |       1564 |       1496 |       1450 |       1501 |       1537 |       1537
    miss rate                        |     32.41% |     31.70% |     32.45% |     32.60% |     31.18% |     30.22% |     31.28% |     32.03% |     32.03%
    mpki                             |      17.39 |      17.18 |      18.34 |      18.02 |      17.64 |      17.39 |      18.06 |      18.30 |      17.42
  Cache L1-D                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |      69729 |      67580 |      63167 |      65476 |      63105 |      61364 |      61032 |      62106 |      67169
    num cache misses                 |      11126 |      11094 |      11103 |      11110 |      11066 |      11038 |      11054 |      11067 |      11096
    miss rate                        |     15.96% |     16.42% |     17.58% |     16.97% |     17.54% |     17.99% |     18.11% |     17.82% |     16.52%
    mpki                             |     122.82 |     125.28 |     130.82 |     128.00 |     130.46 |     132.40 |     133.03 |     131.77 |     125.77
