                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |   28759901 |   28549795 |   28317276 |   28280568 |   28259534
  Cycles                             |   60382266 |   60382266 |   60382266 |   60382266 |   60382266
  IPC                                |       0.48 |       0.47 |       0.47 |       0.47 |       0.47
  Time (ns)                          |   22700100 |   22700100 |   22700100 |   22700100 |   22700100
  Idle time (ns)                     |        -81 |        -39 |        -45 |        -81 |        -14
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |    1059719 |    1055570 |    1051038 |    1050323 |    1049913
  num incorrect                      |       8006 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |    2876325 |    2860039 |    2842085 |    2839250 |    2837626
    num misses                       |         63 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |           
    num accesses                     |   15778115 |   15668975 |   15548134 |   15529050 |   15518125
    num misses                       |       6344 |       5870 |       5353 |       5276 |       5230
    miss rate                        |      0.04% |      0.04% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.22 |       0.21 |       0.19 |       0.19 |       0.19
  L2 TLB                             |            |            |            |            |           
    num accesses                     |       6407 |       5931 |       5414 |       5337 |       5291
    num misses                       |        333 |        316 |        316 |        316 |        316
    miss rate                        |      5.20% |      5.33% |      5.84% |      5.92% |      5.97%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |    2876325 |    2860039 |    2842085 |    2839250 |    2837626
    num cache misses                 |     417135 |     461784 |     487799 |     486122 |     492344
    miss rate                        |     14.50% |     16.15% |     17.16% |     17.12% |     17.35%
    mpki                             |      14.50 |      16.17 |      17.23 |      17.19 |      17.42
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |   15778115 |   15668975 |   15548134 |   15529050 |   15518125
    num cache misses                 |     108298 |     111800 |     111735 |     110878 |     109325
    miss rate                        |      0.69% |      0.71% |      0.72% |      0.71% |      0.70%
    mpki                             |       3.77 |       3.92 |       3.95 |       3.92 |       3.87
  Cache L2                           |            |            |            |            |           
    num cache accesses               |     525458 |     573607 |     599557 |     597024 |     601693
    num cache misses                 |      95998 |      93942 |      91894 |      91443 |      90937
    miss rate                        |     18.27% |     16.38% |     15.33% |     15.32% |     15.11%
    mpki                             |       3.34 |       3.29 |       3.25 |       3.23 |       3.22
  Cache L3                           |            |            |            |            |           
    num cache accesses               |      96035 |      93978 |      91924 |      91475 |      90967
    num cache misses                 |      13889 |      13828 |      13831 |      13830 |      13831
    miss rate                        |     14.46% |     14.71% |     15.05% |     15.12% |     15.20%
    mpki                             |       0.48 |       0.48 |       0.49 |       0.49 |       0.49
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |      69422 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      56.99 |        inf |        inf |        inf |        inf
  average dram queueing delay        |       3.56 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |       5861 |       5912 |       6040 |       6032 |       6025
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
