                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |   40121674 |   40110764 |   40121126
  Cycles                             |   40737900 |   40737900 |   40737900
  IPC                                |       0.98 |       0.98 |       0.98
  Time (ns)                          |   15315000 |   15315000 |   15315000
  Idle time (ns)                     |        -46 |        -46 |         95
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |           
  num correct                        |   10022006 |   10019427 |   10021944
  num incorrect                      |       1519 |       1442 |       1470
  misprediction rate                 |      0.02% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |   20015334 |   20010202 |   20015230
    num misses                       |         52 |         48 |         49
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |           
    num accesses                     |      40210 |      39847 |      39967
    num misses                       |         74 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |           
    num accesses                     |        126 |        121 |        122
    num misses                       |        122 |        117 |        118
    miss rate                        |     96.83% |     96.69% |     96.72%
    mpki                             |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |   20015334 |   20010202 |   20015230
    num cache misses                 |       1331 |       1257 |       1309
    miss rate                        |      0.01% |      0.01% |      0.01%
    mpki                             |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |           
    num cache accesses               |      40210 |      39847 |      39967
    num cache misses                 |       2236 |       2219 |       2221
    miss rate                        |      5.56% |      5.57% |      5.56%
    mpki                             |       0.06 |       0.06 |       0.06
  Cache L2                           |            |            |           
    num cache accesses               |       3606 |       3512 |       3566
    num cache misses                 |       2717 |       2627 |       2658
    miss rate                        |     75.35% |     74.80% |     74.54%
    mpki                             |       0.07 |       0.07 |       0.07
  Cache L3                           |            |            |           
    num cache accesses               |       2756 |       2665 |       2696
    num cache misses                 |       2481 |       2414 |       2433
    miss rate                        |     90.02% |     90.58% |     90.24%
    mpki                             |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |           
  num dram accesses                  |       7328 |          0 |          0
  average dram access latency (ns)   |      66.44 |        inf |        inf
  average dram queueing delay        |      13.01 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |       1127 |       1117 |       1119
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
