                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13   
  Instructions                       |    6726339 |    6723939 |    6719463 |    6726302 |    6728070 |    6726519 |    6728792 |    6726290 |    6722889 |    6724277 |    6722618 |    6723186 |    6727215 |    6726245
  Cycles                             |   39023530 |   39023530 |   39023530 |   39023530 |   39023530 |   39023530 |   39023530 |   39023530 |   39023530 |   39023530 |   39023530 |   39023530 |   39023530 |   39023530
  IPC                                |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17
  Time (ns)                          |   14670500 |   14670500 |   14670500 |   14670500 |   14670500 |   14670500 |   14670500 |   14670500 |   14670500 |   14670500 |   14670500 |   14670500 |   14670500 |   14670500
  Idle time (ns)                     |        -27 |        122 |        196 |        158 |        119 |         58 |        -27 |         78 |          9 |         14 |        119 |          3 |        213 |         28
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     259577 |     259529 |     259441 |     259576 |     259618 |     259580 |     259678 |     259576 |     259509 |     259536 |     259504 |     259515 |     259594 |     259575
  num incorrect                      |       3911 |       3911 |       3911 |       3911 |       3912 |       3911 |       3961 |       3911 |       3911 |       3911 |       3911 |       3911 |       3911 |       3911
  misprediction rate                 |      1.48% |      1.48% |      1.49% |      1.48% |      1.48% |      1.48% |      1.50% |      1.48% |      1.48% |      1.48% |      1.48% |      1.48% |      1.48% |      1.48%
  mpki                               |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.59 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     680393 |     680206 |     679860 |     680390 |     680527 |     680406 |     680639 |     680389 |     680126 |     680233 |     680105 |     680149 |     680461 |     680386
    num misses                       |         60 |         60 |         60 |         60 |         60 |         60 |         62 |         60 |         60 |         60 |         60 |         60 |         60 |         60
