                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13   
    num cache misses                 |    4596246 |    4592253 |    4598016 |    4584102 |    4598203 |    4584413 |    4554200 |    4572404 |    4571244 |    4577346 |    4565847 |    4558466 |    4560406 |    4524830
    miss rate                        |     88.35% |     88.63% |     88.80% |     88.77% |     89.01% |     88.90% |     88.50% |     88.82% |     88.85% |     88.90% |     89.05% |     89.02% |     88.67% |     88.70%
    mpki                             |     161.74 |     161.65 |     161.85 |     161.17 |     161.73 |     161.19 |     159.16 |     160.65 |     160.63 |     160.76 |     160.12 |     159.76 |     159.36 |     157.33
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4597044 |    4593056 |    4598816 |    4584890 |    4599015 |    4585226 |    4555020 |    4573209 |    4572055 |    4578178 |    4566652 |    4559271 |    4561229 |    4525671
    num cache misses                 |      35559 |      35566 |      35528 |      35550 |      35562 |      35580 |      35521 |      35535 |      35531 |      35523 |      35537 |      35553 |      35499 |      35956
    miss rate                        |      0.77% |      0.77% |      0.77% |      0.78% |      0.77% |      0.78% |      0.78% |      0.78% |      0.78% |      0.78% |      0.78% |      0.78% |      0.78% |      0.79%
    mpki                             |       1.25 |       1.25 |       1.25 |       1.25 |       1.25 |       1.25 |       1.24 |       1.25 |       1.25 |       1.25 |       1.25 |       1.25 |       1.24 |       1.25
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     633468 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      57.93 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       4.50 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      6.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      33192 |      33167 |      33151 |      33173 |      33201 |      33188 |      33149 |      33240 |      33202 |      33171 |      33159 |      33130 |      33131 |      33411
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
