                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10   
  Instructions                       |  101301753 |  103426992 |  101076005 |  100956977 |  108033181 |  101434646 |  103414892 |  104905397 |  102993856 |  102671779 |  102147863
  Cycles                             |  368587156 |  368587156 |  368587156 |  368587156 |  368587156 |  368587156 |  368587156 |  368587156 |  368587156 |  368587156 |  368587156
  IPC                                |       0.27 |       0.28 |       0.27 |       0.27 |       0.29 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
  Time (ns)                          |  138566600 |  138566600 |  138566600 |  138566600 |  138566600 |  138566600 |  138566600 |  138566600 |  138566600 |  138566600 |  138566600
  Idle time (ns)                     |        -72 |        -72 |        -49 |         -1 |        -88 |         -9 |        -21 |         60 |        -88 |         32 |        -32
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   16007469 |   16356387 |   15970381 |   15950830 |   17101784 |   16029292 |   16354513 |   16599236 |   16285291 |   16232368 |   16146424
  num incorrect                      |     260227 |     267164 |     259494 |     259112 |     281892 |     260654 |     267123 |     272030 |     265749 |     264695 |     262973
  misprediction rate                 |      1.60% |      1.61% |      1.60% |      1.60% |      1.62% |      1.60% |      1.61% |      1.61% |      1.61% |      1.60% |      1.60%
  mpki                               |       2.57 |       2.58 |       2.57 |       2.57 |       2.61 |       2.57 |       2.58 |       2.59 |       2.58 |       2.58 |       2.57
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15632105 |   15952725 |   15598134 |   15580096 |   16653068 |   15652082 |   15950758 |   16175449 |   15887291 |   15838731 |   15759658
    num misses                       |        138 |        138 |        138 |        138 |        152 |        138 |        138 |        138 |        138 |        138 |        138
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   36706444 |   37504542 |   36621611 |   36576995 |   39205558 |   36756348 |   37499965 |   38059521 |   37341757 |   37220860 |   37024248
    num misses                       |       1028 |       1029 |       1028 |       1028 |       1051 |       1028 |       1029 |       1029 |       1029 |       1029 |       1028
