                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |      36903 |      36219 |      36670 |      35494 |      39715 |      39788 |      36921 |      39738 |      34370 |      37285 |      39767 |      39667 |      36903
  Cycles                             |     237538 |     237538 |     237538 |     237538 |     237538 |     237538 |     237538 |     237538 |     237538 |     237538 |     237538 |     237538 |     237538
  IPC                                |       0.16 |       0.15 |       0.15 |       0.15 |       0.17 |       0.17 |       0.16 |       0.17 |       0.14 |       0.16 |       0.17 |       0.17 |       0.16
  Time (ns)                          |      89300 |      89300 |      89300 |      89300 |      89300 |      89300 |      89300 |      89300 |      89300 |      89300 |      89300 |      89300 |      89300
  Idle time (ns)                     |        382 |         21 |        487 |        311 |        578 |        800 |        -18 |        271 |        585 |        759 |        -23 |        576 |        357
  Idle time (%)                      |       0.4% |       0.0% |       0.5% |       0.3% |       0.6% |       0.9% |      -0.0% |       0.3% |       0.7% |       0.8% |      -0.0% |       0.6% |       0.4%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |       8466 |       8421 |       8451 |       8269 |       8589 |       8597 |       8467 |       8592 |       8057 |       8479 |       8596 |       8580 |       8466
  num incorrect                      |        970 |        954 |        966 |        926 |       1005 |       1013 |        970 |       1008 |        882 |        972 |       1013 |       1000 |        970
  misprediction rate                 |     10.28% |     10.18% |     10.26% |     10.07% |     10.48% |     10.54% |     10.28% |     10.50% |      9.87% |     10.28% |     10.54% |     10.44% |     10.28%
  mpki                               |      26.29 |      26.34 |      26.34 |      26.09 |      25.31 |      25.46 |      26.27 |      25.37 |      25.66 |      26.07 |      25.47 |      25.21 |      26.29
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       4518 |       4434 |       4496 |       4330 |       4770 |       4784 |       4519 |       4775 |       4158 |       4546 |       4781 |       4758 |       4518
    num misses                       |         39 |         38 |         39 |         38 |         42 |         43 |         39 |         42 |         37 |         39 |         42 |         42 |         39
    miss rate                        |      0.86% |      0.86% |      0.87% |      0.88% |      0.88% |      0.90% |      0.86% |      0.88% |      0.89% |      0.86% |      0.88% |      0.88% |      0.86%
    mpki                             |       1.06 |       1.05 |       1.06 |       1.07 |       1.06 |       1.08 |       1.06 |       1.06 |       1.08 |       1.05 |       1.06 |       1.06 |       1.06
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       9106 |       8691 |       8961 |       8622 |      10431 |      10463 |       9116 |      10443 |       8415 |       9287 |      10455 |      10404 |       9106
    num misses                       |         22 |         22 |         22 |         22 |         22 |         22 |         22 |         22 |         21 |         22 |         22 |         22 |         22
    miss rate                        |      0.24% |      0.25% |      0.25% |      0.26% |      0.21% |      0.21% |      0.24% |      0.21% |      0.25% |      0.24% |      0.21% |      0.21% |      0.24%
    mpki                             |       0.60 |       0.61 |       0.60 |       0.62 |       0.55 |       0.55 |       0.60 |       0.55 |       0.61 |       0.59 |       0.55 |       0.55 |       0.60
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         61 |         60 |         61 |         60 |         64 |         65 |         61 |         64 |         58 |         61 |         64 |         64 |         61
    num misses                       |         61 |         60 |         61 |         60 |         64 |         65 |         61 |         64 |         58 |         61 |         64 |         64 |         61
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       1.65 |       1.66 |       1.66 |       1.69 |       1.61 |       1.63 |       1.65 |       1.61 |       1.69 |       1.64 |       1.61 |       1.61 |       1.65
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       4518 |       4434 |       4496 |       4330 |       4770 |       4784 |       4519 |       4775 |       4158 |       4546 |       4781 |       4758 |       4518
    num cache misses                 |       2733 |       2515 |       2679 |       2169 |       2983 |       2846 |       2711 |       2806 |       2364 |       2581 |       2896 |       2941 |       2811
    miss rate                        |     60.49% |     56.72% |     59.59% |     50.09% |     62.54% |     59.49% |     59.99% |     58.76% |     56.85% |     56.78% |     60.57% |     61.81% |     62.22%
    mpki                             |      74.06 |      69.44 |      73.06 |      61.11 |      75.11 |      71.53 |      73.43 |      70.61 |      68.78 |      69.22 |      72.82 |      74.14 |      76.17
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       9106 |       8691 |       8961 |       8622 |      10431 |      10463 |       9116 |      10443 |       8415 |       9287 |      10455 |      10404 |       9106
    num cache misses                 |       2112 |       2052 |       2137 |       1770 |       2338 |       2173 |       2146 |       2219 |       1912 |       2140 |       2274 |       2274 |       2292
    miss rate                        |     23.19% |     23.61% |     23.85% |     20.53% |     22.41% |     20.77% |     23.54% |     21.25% |     22.72% |     23.04% |     21.75% |     21.86% |     25.17%
    mpki                             |      57.23 |      56.66 |      58.28 |      49.87 |      58.87 |      54.61 |      58.12 |      55.84 |      55.63 |      57.40 |      57.18 |      57.33 |      62.11
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       4857 |       4577 |       4827 |       3949 |       5336 |       5037 |       4869 |       5041 |       4286 |       4733 |       5187 |       5230 |       5114
    num cache misses                 |       3262 |       3148 |       3249 |       2822 |       3583 |       3330 |       3257 |       3305 |       2983 |       3259 |       3454 |       3488 |       3436
    miss rate                        |     67.16% |     68.78% |     67.31% |     71.46% |     67.15% |     66.11% |     66.89% |     65.56% |     69.60% |     68.86% |     66.59% |     66.69% |     67.19%
    mpki                             |      88.39 |      86.92 |      88.60 |      79.51 |      90.22 |      83.69 |      88.22 |      83.17 |      86.79 |      87.41 |      86.86 |      87.93 |      93.11
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       3275 |       3160 |       3261 |       2832 |       3598 |       3349 |       3270 |       3322 |       2993 |       3271 |       3472 |       3504 |       3447
    num cache misses                 |        727 |        708 |        725 |        704 |        773 |        779 |        727 |        774 |        670 |        729 |        778 |        761 |        727
    miss rate                        |     22.20% |     22.41% |     22.23% |     24.86% |     21.48% |     23.26% |     22.23% |     23.30% |     22.39% |     22.29% |     22.41% |     21.72% |     21.09%
    mpki                             |      19.70 |      19.55 |      19.77 |      19.83 |      19.46 |      19.58 |      19.69 |      19.48 |      19.49 |      19.55 |      19.56 |      19.18 |      19.70
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |       9616 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     525.17 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     471.74 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     90.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        169 |        168 |        172 |        173 |        182 |        186 |        168 |        182 |        168 |        172 |        183 |        177 |        169
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
