                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |     121287 |     121713 |     121080 |     120769 |     120497 |     120800
  Cycles                             |     806778 |     806778 |     806778 |     806778 |     806778 |     806778
  IPC                                |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
  Time (ns)                          |     303300 |     303300 |     303300 |     303300 |     303300 |     303300
  Idle time (ns)                     |         39 |       -427 |        -64 |        644 |        -64 |        307
  Idle time (%)                      |       0.0% |      -0.1% |      -0.0% |       0.2% |      -0.0% |       0.1%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |      21984 |      22023 |      21960 |      21927 |      21915 |      21930
  num incorrect                      |       1467 |       1503 |       1455 |       1436 |       1418 |       1436
  misprediction rate                 |      6.26% |      6.39% |      6.21% |      6.15% |      6.08% |      6.15%
  mpki                               |      12.10 |      12.35 |      12.02 |      11.89 |      11.77 |      11.89
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |      15264 |      15330 |      15226 |      15176 |      15130 |      15182
    num misses                       |         50 |         52 |         49 |         49 |         46 |         49
    miss rate                        |      0.33% |      0.34% |      0.32% |      0.32% |      0.30% |      0.32%
    mpki                             |       0.41 |       0.43 |       0.40 |       0.41 |       0.38 |       0.41
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |      40092 |      40253 |      39989 |      39858 |      39737 |      39887
    num misses                       |        118 |        118 |        117 |        117 |        117 |        117
    miss rate                        |      0.29% |      0.29% |      0.29% |      0.29% |      0.29% |      0.29%
    mpki                             |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |        168 |        170 |        166 |        166 |        163 |        166
    num misses                       |        119 |        121 |        117 |        117 |        114 |        117
    miss rate                        |     70.83% |     71.18% |     70.48% |     70.48% |     69.94% |     70.48%
    mpki                             |       0.98 |       0.99 |       0.97 |       0.97 |       0.95 |       0.97
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |      15264 |      15330 |      15226 |      15176 |      15130 |      15182
    num cache misses                 |       4897 |       4374 |       4806 |       4841 |       4421 |       4828
    miss rate                        |     32.08% |     28.53% |     31.56% |     31.90% |     29.22% |     31.80%
    mpki                             |      40.38 |      35.94 |      39.69 |      40.08 |      36.69 |      39.97
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |      40092 |      40253 |      39989 |      39858 |      39737 |      39887
    num cache misses                 |       4543 |       4307 |       4522 |       4465 |       4259 |       4449
    miss rate                        |     11.33% |     10.70% |     11.31% |     11.20% |     10.72% |     11.15%
    mpki                             |      37.46 |      35.39 |      37.35 |      36.97 |      35.35 |      36.83
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |       9473 |       8716 |       9361 |       9338 |       8710 |       9309
    num cache misses                 |       3849 |       3832 |       3841 |       3821 |       3699 |       3806
    miss rate                        |     40.63% |     43.97% |     41.03% |     40.92% |     42.47% |     40.89%
    mpki                             |      31.73 |      31.48 |      31.72 |      31.64 |      30.70 |      31.51
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |       3884 |       3868 |       3876 |       3855 |       3731 |       3841
    num cache misses                 |       2441 |       2475 |       2427 |       2418 |       2386 |       2422
    miss rate                        |     62.85% |     63.99% |     62.62% |     62.72% |     63.95% |     63.06%
    mpki                             |      20.13 |      20.33 |      20.04 |      20.02 |      19.80 |      20.05
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      14569 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      73.30 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      19.87 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     40.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       1138 |       1145 |       1139 |       1142 |       1137 |       1142
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
