                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |  107181984 |  107087501 |  107006968 |  106907004 |  106805333 |  106662009 |  106522473 |  106290614 |  106125773 |  108033232 |  107918562 |  107782568 |  107579222 |  107406038 |  107276462
  Cycles                             |  484157240 |  484157240 |  484157240 |  484157240 |  484157240 |  484157240 |  484157240 |  484157240 |  484157240 |  484157240 |  484157240 |  484157240 |  484157240 |  484157240 |  484157240
  IPC                                |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22
  Time (ns)                          |  182014000 |  182014000 |  182014000 |  182014000 |  182014000 |  182014000 |  182014000 |  182014000 |  182014000 |  182014000 |  182014000 |  182014000 |  182014000 |  182014000 |  182014000
  Idle time (ns)                     |         -2 |         64 |        -32 |         85 |         26 |         62 |         12 |         67 |        111 |        -32 |        -11 |         60 |         22 |        -18 |         59
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   16965943 |   16949791 |   16935313 |   16921364 |   16907330 |   16885395 |   16862999 |   16825149 |   16798997 |   17101784 |   17084213 |   17056771 |   17024557 |   17000589 |   16982155
  num incorrect                      |     279434 |     279029 |     278646 |     278553 |     278423 |     278082 |     277495 |     276675 |     276114 |     281892 |     281182 |     280493 |     279987 |     279788 |     279628
  misprediction rate                 |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62%
  mpki                               |       2.61 |       2.61 |       2.60 |       2.61 |       2.61 |       2.61 |       2.61 |       2.60 |       2.60 |       2.61 |       2.61 |       2.60 |       2.60 |       2.60 |       2.61
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   16523510 |   16509380 |   16503791 |   16485707 |   16467394 |   16442506 |   16421532 |   16386238 |   16360342 |   16653068 |   16636006 |   16621672 |   16593608 |   16562371 |   16539205
    num misses                       |        138 |        138 |        138 |        138 |        138 |        138 |        138 |        138 |        138 |        152 |        138 |        138 |        138 |        138 |        138
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   38903939 |   38867613 |   38849397 |   38810640 |   38770833 |   38719414 |   38665893 |   38578640 |   38517404 |   39205586 |   39158609 |   39117157 |   39051287 |   38983636 |   38934089
    num misses                       |       1034 |       1034 |       1032 |       1032 |       1032 |       1030 |       1030 |       1030 |       1030 |       1052 |       1035 |       1035 |       1034 |       1034 |       1034
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       1172 |       1172 |       1170 |       1170 |       1170 |       1168 |       1168 |       1168 |       1168 |       1204 |       1173 |       1173 |       1172 |       1172 |       1172
    num misses                       |        354 |        354 |        354 |        354 |        354 |        354 |        354 |        354 |        354 |        363 |        354 |        354 |        354 |        354 |        354
    miss rate                        |     30.20% |     30.20% |     30.26% |     30.26% |     30.26% |     30.31% |     30.31% |     30.31% |     30.31% |     30.15% |     30.18% |     30.18% |     30.20% |     30.20% |     30.20%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   16523510 |   16509380 |   16503791 |   16485707 |   16467394 |   16442506 |   16421532 |   16386238 |   16360342 |   16653068 |   16636006 |   16621672 |   16593608 |   16562371 |   16539205
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
