                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   60121487 |   60121685 |   60120883 |   60113917 |   60111064 |   60109381 |   60109207 |   60103792
  Cycles                             |  160839826 |  160839826 |  160839826 |  160839826 |  160839826 |  160839826 |  160839826 |  160839826
  IPC                                |       0.37 |       0.37 |       0.37 |       0.37 |       0.37 |       0.37 |       0.37 |       0.37
  Time (ns)                          |   60466100 |   60466100 |   60466100 |   60466100 |   60466100 |   60466100 |   60466100 |   60466100
  Idle time (ns)                     |         28 |        -52 |         -9 |        -11 |        -52 |         -9 |         28 |         13
  Idle time (%)                      |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   10021994 |   10022010 |   10021929 |   10020786 |   10020310 |   10020030 |   10020002 |   10019099
  num incorrect                      |       1500 |       1516 |       1452 |       1440 |       1440 |       1440 |       1440 |       1440
  misprediction rate                 |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |      15305 |      15333 |      15188 |      15164 |      15164 |      15164 |      15164 |      15164
    num misses                       |         51 |         52 |         49 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.33% |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |      40149 |      40238 |      39922 |      39845 |      39845 |      39845 |      39845 |      39845
    num misses                       |        159 |        159 |        158 |        158 |        158 |        158 |        158 |        158
    miss rate                        |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |        210 |        211 |        207 |        206 |        206 |        206 |        206 |        206
    num misses                       |        126 |        127 |        123 |        122 |        122 |        122 |        122 |        122
    miss rate                        |     60.00% |     60.19% |     59.42% |     59.22% |     59.22% |     59.22% |     59.22% |     59.22%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      15305 |      15333 |      15188 |      15164 |      15164 |      15164 |      15164 |      15164
    num cache misses                 |       5508 |       5567 |       5938 |       6064 |       5966 |       6016 |       5864 |       5192
    miss rate                        |     35.99% |     36.31% |     39.10% |     39.99% |     39.34% |     39.67% |     38.67% |     34.24%
    mpki                             |       0.09 |       0.09 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.09
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      40149 |      40238 |      39922 |      39845 |      39845 |      39845 |      39845 |      39845
    num cache misses                 |       5047 |       5086 |       5179 |       5225 |       5262 |       5286 |       5200 |       4957
    miss rate                        |     12.57% |     12.64% |     12.97% |     13.11% |     13.21% |     13.27% |     13.05% |     12.44%
    mpki                             |       0.08 |       0.08 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.08
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      10588 |      10686 |      11149 |      11321 |      11260 |      11333 |      11096 |      10181
    num cache misses                 |       4009 |       4034 |       4023 |       4008 |       4018 |       4039 |       3990 |       3907
    miss rate                        |     37.86% |     37.75% |     36.08% |     35.40% |     35.68% |     35.64% |     35.96% |     38.38%
    mpki                             |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4045 |       4072 |       4060 |       4044 |       4054 |       4075 |       4026 |       3943
    num cache misses                 |       2461 |       2479 |       2429 |       2413 |       2413 |       2413 |       2413 |       2413
    miss rate                        |     60.84% |     60.88% |     59.83% |     59.67% |     59.52% |     59.21% |     59.94% |     61.20%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      19438 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      78.35 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      24.92 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       1145 |       1151 |       1142 |       1150 |       1143 |       1143 |       1150 |       1142
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
