                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   77510368 |   77626680 |   77475099 |   77628324 |   78067895 |   77676236 |   77887947 |   77987207 |   77912608 |   77931429 |   78256734 |   77920410
  Cycles                             |  707917238 |  707917238 |  707917238 |  707917238 |  707917238 |  707917238 |  707917238 |  707917238 |  707917238 |  707917238 |  707917238 |  707917238
  IPC                                |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
  Time (ns)                          |  266134300 |  266134300 |  266134300 |  266134300 |  266134300 |  266134300 |  266134300 |  266134300 |  266134300 |  266134300 |  266134300 |  266134300
  Idle time (ns)                     |        123 |          3 |        162 |        123 |        123 |         88 |         58 |          3 |        185 |        244 |        -92 |        -92
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2151455 |    2154639 |    2150491 |    2154684 |    2166717 |    2155996 |    2161791 |    2164508 |    2162466 |    2162981 |    2171907 |    2162680
  num incorrect                      |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |       1022 |        981
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    8443917 |    8456554 |    8440088 |    8456732 |    8504486 |    8461936 |    8484936 |    8495720 |    8487616 |    8489660 |    8525013 |    8488464
    num misses                       |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         43 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   35712498 |   35765966 |   35696284 |   35766735 |   35968849 |   35788765 |   35886110 |   35931748 |   35897447 |   35906101 |   36055627 |   35901036
    num misses                       |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         71 |         69
