                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6    
  Instructions                       |   12621657 |   12609030 |   12620862 |   12604672 |   12606222 |   12602455 |   12599250
  Cycles                             |   29938300 |   29938300 |   29938300 |   29938300 |   29938300 |   29938300 |   29938300
  IPC                                |       0.42 |       0.42 |       0.42 |       0.42 |       0.42 |       0.42 |       0.42
  Time (ns)                          |   11255000 |   11255000 |   11255000 |   11255000 |   11255000 |   11255000 |   11255000
  Idle time (ns)                     |        -35 |        -35 |        612 |        -17 |          5 |        -20 |         51
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |           
  num correct                        |    2522009 |    2519582 |    2521924 |    2518710 |    2519020 |    2518267 |    2517628
  num incorrect                      |       1516 |       1440 |       1451 |       1440 |       1440 |       1440 |       1440
  misprediction rate                 |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
  mpki                               |       0.12 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
TLB Summary                          |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |           
    num accesses                     |      15333 |      15164 |      15185 |      15164 |      15164 |      15164 |      15164
    num misses                       |         52 |         48 |         49 |         48 |         48 |         48 |         48
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |           
    num accesses                     |      40218 |      39841 |      39907 |      39841 |      39841 |      39841 |      39841
    num misses                       |         74 |         73 |         73 |         73 |         73 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |            |            |            |           
    num accesses                     |        126 |        121 |        122 |        121 |        121 |        121 |        121
    num misses                       |        121 |        116 |        117 |        116 |        116 |        116 |        116
    miss rate                        |     96.03% |     95.87% |     95.90% |     95.87% |     95.87% |     95.87% |     95.87%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |           
    num cache accesses               |      15333 |      15164 |      15185 |      15164 |      15164 |      15164 |      15164
    num cache misses                 |       4798 |       5042 |       4610 |       5155 |       5105 |       4899 |       4762
    miss rate                        |     31.29% |     33.25% |     30.36% |     33.99% |     33.67% |     32.31% |     31.40%
    mpki                             |       0.38 |       0.40 |       0.37 |       0.41 |       0.40 |       0.39 |       0.38
  Cache L1-D                         |            |            |            |            |            |            |           
    num cache accesses               |      40218 |      39841 |      39907 |      39841 |      39841 |      39841 |      39841
    num cache misses                 |       4299 |       4398 |       4231 |       4425 |       4394 |       4336 |       4316
    miss rate                        |     10.69% |     11.04% |     10.60% |     11.11% |     11.03% |     10.88% |     10.83%
    mpki                             |       0.34 |       0.35 |       0.34 |       0.35 |       0.35 |       0.34 |       0.34
  Cache L2                           |            |            |            |            |            |            |           
    num cache accesses               |       9131 |       9470 |       8874 |       9609 |       9529 |       9264 |       9107
    num cache misses                 |       3592 |       3512 |       3502 |       3551 |       3535 |       3499 |       3479
    miss rate                        |     39.34% |     37.09% |     39.46% |     36.95% |     37.10% |     37.77% |     38.20%
    mpki                             |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
  Cache L3                           |            |            |            |            |            |            |           
    num cache accesses               |       3629 |       3546 |       3538 |       3586 |       3570 |       3535 |       3514
    num cache misses                 |       2481 |       2414 |       2428 |       2414 |       2414 |       2414 |       2414
    miss rate                        |     68.37% |     68.08% |     68.63% |     67.32% |     67.62% |     68.29% |     68.70%
    mpki                             |       0.20 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19
DRAM summary                         |            |            |            |            |            |            |           
  num dram accesses                  |      16983 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      75.48 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      22.05 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |           
  num loads from dram                |       1143 |       1138 |       1137 |       1139 |       1140 |       1139 |       1140
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0
