                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     120831 |     120819 |     121648 |     120595 |     120831 |     120544 |     120439 |     119179
  Cycles                             |     697186 |     697186 |     697186 |     697186 |     697186 |     697186 |     697186 |     697186
  IPC                                |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17
  Time (ns)                          |     262100 |     262100 |     262100 |     262100 |     262100 |     262100 |     262100 |     262100
  Idle time (ns)                     |        530 |         -5 |       -135 |       1297 |        276 |        -22 |        395 |        276
  Idle time (%)                      |       0.2% |      -0.0% |      -0.1% |       0.5% |       0.1% |      -0.0% |       0.2% |       0.1%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      21923 |      21921 |      22012 |      21910 |      21923 |      21907 |      21902 |      21639
  num incorrect                      |       1448 |       1447 |       1514 |       1435 |       1448 |       1433 |       1425 |       1381
  misprediction rate                 |      6.20% |      6.19% |      6.44% |      6.15% |      6.20% |      6.14% |      6.11% |      6.00%
  mpki                               |      11.98 |      11.98 |      12.45 |      11.90 |      11.98 |      11.89 |      11.83 |      11.59
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |      15182 |      15182 |      15330 |      15145 |      15182 |      15140 |      15121 |      15023
    num misses                       |         49 |         49 |         52 |         47 |         49 |         47 |         45 |         45
    miss rate                        |      0.32% |      0.32% |      0.34% |      0.31% |      0.32% |      0.31% |      0.30% |      0.30%
    mpki                             |       0.41 |       0.41 |       0.43 |       0.39 |       0.41 |       0.39 |       0.37 |       0.38
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |      39896 |      39893 |      40214 |      39784 |      39896 |      39758 |      39702 |      39555
    num misses                       |         76 |         76 |         77 |         76 |         76 |         76 |         76 |         76
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.64
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |        125 |        125 |        129 |        123 |        125 |        123 |        121 |        121
    num misses                       |        119 |        119 |        123 |        117 |        119 |        117 |        115 |        115
    miss rate                        |     95.20% |     95.20% |     95.35% |     95.12% |     95.20% |     95.12% |     95.04% |     95.04%
    mpki                             |       0.98 |       0.98 |       1.01 |       0.97 |       0.98 |       0.97 |       0.95 |       0.96
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      15182 |      15182 |      15330 |      15145 |      15182 |      15140 |      15121 |      15023
    num cache misses                 |       5859 |       5861 |       5106 |       5654 |       5758 |       5645 |       5611 |       5013
    miss rate                        |     38.59% |     38.60% |     33.31% |     37.33% |     37.93% |     37.29% |     37.11% |     33.37%
    mpki                             |      48.49 |      48.51 |      41.97 |      46.88 |      47.65 |      46.83 |      46.59 |      42.06
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      39896 |      39893 |      40214 |      39784 |      39896 |      39758 |      39702 |      39555
    num cache misses                 |       5287 |       5339 |       4905 |       5260 |       5332 |       5212 |       5167 |       4883
    miss rate                        |     13.25% |     13.38% |     12.20% |     13.22% |     13.36% |     13.11% |     13.01% |     12.34%
    mpki                             |      43.76 |      44.19 |      40.32 |      43.62 |      44.13 |      43.24 |      42.90 |      40.97
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      11180 |      11234 |      10046 |      10947 |      11124 |      10890 |      10809 |       9927
    num cache misses                 |       4408 |       4400 |       4266 |       4288 |       4403 |       4346 |       4346 |       4183
    miss rate                        |     39.43% |     39.17% |     42.46% |     39.17% |     39.58% |     39.91% |     40.21% |     42.14%
    mpki                             |      36.48 |      36.42 |      35.07 |      35.56 |      36.44 |      36.05 |      36.08 |      35.10
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4442 |       4436 |       4301 |       4321 |       4437 |       4381 |       4380 |       4217
    num cache misses                 |       2422 |       2422 |       2475 |       2399 |       2422 |       2395 |       2381 |       2365
    miss rate                        |     54.52% |     54.60% |     57.54% |     55.52% |     54.59% |     54.67% |     54.36% |     56.08%
    mpki                             |      20.04 |      20.05 |      20.35 |      19.89 |      20.04 |      19.87 |      19.77 |      19.84
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      19281 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      82.51 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      29.08 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     62.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       1144 |       1143 |       1143 |       1144 |       1139 |       1141 |       1142 |       1138
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
