                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |     121632 |     121183 |     121526 |     120699 |     120578 |     120898 |     118868 |     119750 |     118774
  Cycles                             |     959196 |     959196 |     959196 |     959196 |     959196 |     959196 |     959196 |     959196 |     959196
  IPC                                |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.12 |       0.12 |       0.12
  Time (ns)                          |     360600 |     360600 |     360600 |     360600 |     360600 |     360600 |     360600 |     360600 |     360600
  Idle time (ns)                     |       -129 |       -129 |       1220 |       1140 |         37 |        180 |         87 |        -92 |        -92
  Idle time (%)                      |      -0.0% |      -0.0% |       0.3% |       0.3% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |      22012 |      21962 |      22003 |      21915 |      21908 |      21931 |      21577 |      21757 |      21552
  num incorrect                      |       1514 |       1469 |       1504 |       1438 |       1435 |       1451 |       1369 |       1397 |       1366
  misprediction rate                 |      6.44% |      6.27% |      6.40% |      6.16% |      6.15% |      6.21% |      5.97% |      6.03% |      5.96%
  mpki                               |      12.45 |      12.12 |      12.38 |      11.91 |      11.90 |      12.00 |      11.52 |      11.67 |      11.50
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      15330 |      15244 |      15314 |      15163 |      15142 |      15187 |      14998 |      15062 |      14995
    num misses                       |         52 |         49 |         51 |         48 |         47 |         49 |         45 |         45 |         45
    miss rate                        |      0.34% |      0.32% |      0.33% |      0.32% |      0.31% |      0.32% |      0.30% |      0.30% |      0.30%
    mpki                             |       0.43 |       0.40 |       0.42 |       0.40 |       0.39 |       0.41 |       0.38 |       0.38 |       0.38
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      40203 |      39989 |      40179 |      39810 |      39747 |      39922 |      39500 |      39638 |      39491
    num misses                       |         77 |         76 |         77 |         76 |         76 |         76 |         76 |         76 |         76
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.64 |       0.63 |       0.64
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |        129 |        125 |        128 |        124 |        123 |        125 |        121 |        121 |        121
    num misses                       |        123 |        119 |        122 |        118 |        117 |        119 |        115 |        115 |        115
    miss rate                        |     95.35% |     95.20% |     95.31% |     95.16% |     95.12% |     95.20% |     95.04% |     95.04% |     95.04%
    mpki                             |       1.01 |       0.98 |       1.00 |       0.98 |       0.97 |       0.98 |       0.97 |       0.96 |       0.97
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15330 |      15244 |      15314 |      15163 |      15142 |      15187 |      14998 |      15062 |      14995
    num cache misses                 |       5241 |       6044 |       6042 |       6120 |       5587 |       6070 |       5771 |       6192 |       5491
    miss rate                        |     34.19% |     39.65% |     39.45% |     40.36% |     36.90% |     39.97% |     38.48% |     41.11% |     36.62%
    mpki                             |      43.09 |      49.87 |      49.72 |      50.70 |      46.34 |      50.21 |      48.55 |      51.71 |      46.23
  Cache L1-D                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |      40203 |      39989 |      40179 |      39810 |      39747 |      39922 |      39500 |      39638 |      39491
