                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   40121647 |   40117785 |   40104833 |   40113837
  Cycles                             |   53828558 |   53828558 |   53828558 |   53828558
  IPC                                |       0.75 |       0.75 |       0.75 |       0.75
  Time (ns)                          |   20236300 |   20236300 |   20236300 |   20236300
  Idle time (ns)                     |         -4 |         15 |         -4 |         31
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |   10022008 |   10021189 |   10017950 |   10020207
  num incorrect                      |       1517 |       1441 |       1441 |       1441
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |      15334 |      15165 |      15165 |      15165
    num misses                       |         52 |         48 |         48 |         48
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |      40216 |      39839 |      39839 |      39839
    num misses                       |         76 |         75 |         75 |         75
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        128 |        123 |        123 |        123
    num misses                       |        121 |        116 |        116 |        116
    miss rate                        |     94.53% |     94.31% |     94.31% |     94.31%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      15334 |      15165 |      15165 |      15165
    num cache misses                 |       1589 |       1557 |       1505 |       1556
    miss rate                        |     10.36% |     10.27% |      9.92% |     10.26%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      40216 |      39839 |      39839 |      39839
    num cache misses                 |       2867 |       2865 |       2837 |       2872
    miss rate                        |      7.13% |      7.19% |      7.12% |      7.21%
    mpki                             |       0.07 |       0.07 |       0.07 |       0.07
  Cache L2                           |            |            |            |           
    num cache accesses               |       4499 |       4460 |       4381 |       4465
    num cache misses                 |       2802 |       2702 |       2705 |       2701
    miss rate                        |     62.28% |     60.58% |     61.74% |     60.49%
    mpki                             |       0.07 |       0.07 |       0.07 |       0.07
  Cache L3                           |            |            |            |           
    num cache accesses               |       2846 |       2743 |       2746 |       2741
    num cache misses                 |       2477 |       2411 |       2411 |       2411
    miss rate                        |     87.03% |     87.90% |     87.80% |     87.96%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9710 |          0 |          0 |          0
  average dram access latency (ns)   |      71.57 |        inf |        inf |        inf
  average dram queueing delay        |      18.14 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       1134 |       1129 |       1128 |       1125
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
