                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |   28759913 |   28673873 |   28539602 |   28403058 |   28102609 |   28089828 |   28066222 |   28025311 |   28036633
  Cycles                             |  110403566 |  110403566 |  110403566 |  110403566 |  110403566 |  110403566 |  110403566 |  110403566 |  110403566
  IPC                                |       0.26 |       0.26 |       0.26 |       0.26 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25
  Time (ns)                          |   41505100 |   41505100 |   41505100 |   41505100 |   41505100 |   41505100 |   41505100 |   41505100 |   41505100
  Idle time (ns)                     |        -67 |         78 |         46 |         29 |         39 |        -67 |         29 |         78 |         23
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |    1059719 |    1057990 |    1055373 |    1052710 |    1046854 |    1046604 |    1046145 |    1045346 |    1045567
  num incorrect                      |       8006 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.76% |      0.76%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |    2876325 |    2869623 |    2859255 |    2848708 |    2825508 |    2824520 |    2822698 |    2819537 |    2820412
    num misses                       |         63 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |   15778122 |   15733463 |   15663683 |   15592712 |   15436566 |   15429911 |   15417657 |   15396391 |   15402279
    num misses                       |       6344 |       6147 |       5848 |       5544 |       4878 |       4847 |       4804 |       4710 |       4735
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.22 |       0.21 |       0.20 |       0.20 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |       6407 |       6208 |       5909 |       5605 |       4939 |       4908 |       4865 |       4771 |       4796
    num misses                       |        333 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316
    miss rate                        |      5.20% |      5.09% |      5.35% |      5.64% |      6.40% |      6.44% |      6.50% |      6.62% |      6.59%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2876325 |    2869623 |    2859255 |    2848708 |    2825508 |    2824520 |    2822698 |    2819537 |    2820412
    num cache misses                 |    1274552 |    1294758 |    1321130 |    1330958 |    1359124 |    1330537 |    1305725 |    1303798 |    1312193
    miss rate                        |     44.31% |     45.12% |     46.21% |     46.72% |     48.10% |     47.11% |     46.26% |     46.24% |     46.52%
