                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6    
  Instructions                       |     121485 |     121494 |     121350 |     121192 |     121686 |     121047 |     121619
  Cycles                             |     267862 |     267862 |     267862 |     267862 |     267862 |     267862 |     267862
  IPC                                |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45
  Time (ns)                          |     100700 |     100700 |     100700 |     100700 |     100700 |     100700 |     100700
  Idle time (ns)                     |        -36 |        -83 |        -50 |        -50 |        -83 |         30 |        -36
  Idle time (%)                      |      -0.0% |      -0.1% |      -0.0% |      -0.0% |      -0.1% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |           
  num correct                        |      21997 |      21990 |      21982 |      21964 |      22012 |      21944 |      22012
  num incorrect                      |       1498 |       1496 |       1484 |       1471 |       1514 |       1466 |       1514
  misprediction rate                 |      6.38% |      6.37% |      6.32% |      6.28% |      6.44% |      6.26% |      6.44%
  mpki                               |      12.33 |      12.31 |      12.23 |      12.14 |      12.44 |      12.11 |      12.45
TLB Summary                          |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |           
    num accesses                     |      15304 |      15294 |      15276 |      15248 |      15330 |      15220 |      15329
    num misses                       |         51 |         51 |         50 |         49 |         52 |         49 |         52
    miss rate                        |      0.33% |      0.33% |      0.33% |      0.32% |      0.34% |      0.32% |      0.34%
    mpki                             |       0.42 |       0.42 |       0.41 |       0.40 |       0.43 |       0.40 |       0.43
  D-TLB                              |            |            |            |            |            |            |           
    num accesses                     |      40188 |      40139 |      40110 |      40047 |      40231 |      39977 |      40245
    num misses                       |         77 |         77 |         77 |         76 |         77 |         76 |         77
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63
  L2 TLB                             |            |            |            |            |            |            |           
    num accesses                     |        128 |        128 |        127 |        125 |        129 |        125 |        129
    num misses                       |        122 |        122 |        121 |        119 |        123 |        119 |        123
    miss rate                        |     95.31% |     95.31% |     95.28% |     95.20% |     95.35% |     95.20% |     95.35%
    mpki                             |       1.00 |       1.00 |       1.00 |       0.98 |       1.01 |       0.98 |       1.01
Cache Summary                        |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |           
    num cache accesses               |      15304 |      15294 |      15276 |      15248 |      15330 |      15220 |      15329
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |           
    num cache accesses               |      40188 |      40139 |      40110 |      40047 |      40231 |      39977 |      40245
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |           
  num dram accesses                  |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0
