                                     | Core 0     | Core 1    
  Instructions                       |   60121617 |   60120385
  Cycles                             |   40421360 |   40421360
  IPC                                |       1.49 |       1.49
  Time (ns)                          |   15196000 |   15196000
  Idle time (ns)                     |        -33 |        -56
  Idle time (%)                      |      -0.0% |      -0.0%
Branch predictor stats               |            |           
  num correct                        |   10022009 |   10021871
  num incorrect                      |       1517 |       1441
  misprediction rate                 |      0.02% |      0.01%
  mpki                               |       0.03 |       0.02
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |      15333 |      15164
    num misses                       |         52 |         48
    miss rate                        |      0.34% |      0.32%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |      40209 |      39846
    num misses                       |         76 |         75
    miss rate                        |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00
  L2 TLB                             |            |           
    num accesses                     |        128 |        123
    num misses                       |        123 |        118
    miss rate                        |     96.09% |     95.93%
    mpki                             |       0.00 |       0.00
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      15333 |      15164
    num cache misses                 |        947 |        895
    miss rate                        |      6.18% |      5.90%
    mpki                             |       0.02 |       0.01
  Cache L1-D                         |            |           
    num cache accesses               |      40209 |      39846
    num cache misses                 |       1920 |       1919
    miss rate                        |      4.78% |      4.82%
    mpki                             |       0.03 |       0.03
  Cache L2                           |            |           
    num cache accesses               |       2910 |       2855
    num cache misses                 |       2553 |       2489
    miss rate                        |     87.73% |     87.18%
    mpki                             |       0.04 |       0.04
  Cache L3                           |            |           
    num cache accesses               |       2597 |       2531
    num cache misses                 |       2477 |       2411
    miss rate                        |     95.38% |     95.26%
    mpki                             |       0.04 |       0.04
DRAM summary                         |            |           
  num dram accesses                  |       4888 |          0
  average dram access latency (ns)   |      67.92 |        inf
  average dram queueing delay        |      14.49 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       1125 |       1120
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
