                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |     121376 |     121652 |     121337 |     121175 |     121150 |     121039 |     121035 |     121001 |     120903 |     120892 |     120839 |     120706 |     120706 |     120551 |     120558
  Cycles                             |     524020 |     524020 |     524020 |     524020 |     524020 |     524020 |     524020 |     524020 |     524020 |     524020 |     524020 |     524020 |     524020 |     524020 |     524020
  IPC                                |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23
  Time (ns)                          |     197000 |     197000 |     197000 |     197000 |     197000 |     197000 |     197000 |     197000 |     197000 |     197000 |     197000 |     197000 |     197000 |     197000 |     197000
  Idle time (ns)                     |        -83 |       -133 |        -45 |          6 |        -71 |          6 |        -71 |        -95 |          5 |        -83 |        -45 |         21 |        -95 |        -81 |       -133
  Idle time (%)                      |      -0.0% |      -0.1% |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      21985 |      22012 |      21980 |      21962 |      21958 |      21943 |      21942 |      21939 |      21931 |      21931 |      21925 |      21915 |      21915 |      21907 |      21905
  num incorrect                      |       1488 |       1514 |       1483 |       1469 |       1469 |       1465 |       1465 |       1464 |       1451 |       1451 |       1449 |       1438 |       1438 |       1433 |       1430
  misprediction rate                 |      6.34% |      6.44% |      6.32% |      6.27% |      6.27% |      6.26% |      6.26% |      6.26% |      6.21% |      6.21% |      6.20% |      6.16% |      6.16% |      6.14% |      6.13%
  mpki                               |      12.26 |      12.45 |      12.22 |      12.12 |      12.13 |      12.10 |      12.10 |      12.10 |      12.00 |      12.00 |      11.99 |      11.91 |      11.91 |      11.89 |      11.86
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15281 |      15330 |      15274 |      15245 |      15242 |      15218 |      15218 |      15210 |      15189 |      15187 |      15182 |      15165 |      15165 |      15140 |      15133
    num misses                       |         50 |         52 |         50 |         49 |         49 |         49 |         49 |         49 |         49 |         49 |         49 |         49 |         49 |         47 |         47
    miss rate                        |      0.33% |      0.34% |      0.33% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.31% |      0.31%
    mpki                             |       0.41 |       0.43 |       0.41 |       0.40 |       0.40 |       0.40 |       0.40 |       0.40 |       0.41 |       0.41 |       0.41 |       0.41 |       0.41 |       0.39 |       0.39
