                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6    
  Instructions                       |   28759583 |   28759905 |   28723335 |   28718902 |   28726573 |   28727138 |   28757893
  Cycles                             |   93901458 |   93901458 |   93901458 |   93901458 |   93901458 |   93901458 |   93901458
  IPC                                |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31
  Time (ns)                          |   35301300 |   35301300 |   35301300 |   35301300 |   35301300 |   35301300 |   35301300
  Idle time (ns)                     |          8 |        -95 |        -95 |        -28 |          8 |        -39 |         -6
  Idle time (%)                      |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |           
  num correct                        |    1059680 |    1059719 |    1058953 |    1058866 |    1059017 |    1059028 |    1059627
  num incorrect                      |       7978 |       8006 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |           
    num accesses                     |    2876269 |    2876325 |    2873441 |    2873098 |    2873692 |    2873735 |    2876110
    num misses                       |         61 |         63 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |           
    num accesses                     |   15778016 |   15778120 |   15759169 |   15756861 |   15760854 |   15761144 |   15777128
    num misses                       |       6342 |       6344 |       6250 |       6237 |       6258 |       6259 |       6329
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22
  L2 TLB                             |            |            |            |            |            |            |           
    num accesses                     |       6403 |       6407 |       6311 |       6298 |       6319 |       6320 |       6390
    num misses                       |        329 |        333 |        319 |        318 |        319 |        319 |        321
    miss rate                        |      5.14% |      5.20% |      5.05% |      5.05% |      5.05% |      5.05% |      5.02%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |           
    num cache accesses               |    2876269 |    2876325 |    2873441 |    2873098 |    2873692 |    2873735 |    2876110
    num cache misses                 |    1129408 |    1137902 |    1144064 |    1150145 |    1156053 |    1147863 |    1142783
    miss rate                        |     39.27% |     39.56% |     39.82% |     40.03% |     40.23% |     39.94% |     39.73%
    mpki                             |      39.27 |      39.57 |      39.83 |      40.05 |      40.24 |      39.96 |      39.74
  Cache L1-D                         |            |            |            |            |            |            |           
    num cache accesses               |   15778016 |   15778120 |   15759169 |   15756861 |   15760854 |   15761144 |   15777128
    num cache misses                 |     171095 |     171197 |     170729 |     169225 |     172221 |     167676 |     173434
    miss rate                        |      1.08% |      1.09% |      1.08% |      1.07% |      1.09% |      1.06% |      1.10%
    mpki                             |       5.95 |       5.95 |       5.94 |       5.89 |       6.00 |       5.84 |       6.03
  Cache L2                           |            |            |            |            |            |            |           
    num cache accesses               |    1300572 |    1309173 |    1314854 |    1319434 |    1328337 |    1315605 |    1316277
    num cache misses                 |     133483 |     133914 |     131766 |     131532 |     134295 |     131763 |     135312
    miss rate                        |     10.26% |     10.23% |     10.02% |      9.97% |     10.11% |     10.02% |     10.28%
    mpki                             |       4.64 |       4.66 |       4.59 |       4.58 |       4.67 |       4.59 |       4.71
  Cache L3                           |            |            |            |            |            |            |           
    num cache accesses               |     133557 |     133993 |     131830 |     131599 |     134363 |     131838 |     135378
    num cache misses                 |      14707 |      14751 |      14657 |      14637 |      14658 |      14660 |      14657
    miss rate                        |     11.01% |     11.01% |     11.12% |     11.12% |     10.91% |     11.12% |     10.83%
    mpki                             |       0.51 |       0.51 |       0.51 |       0.51 |       0.51 |       0.51 |       0.51
DRAM summary                         |            |            |            |            |            |            |           
  num dram accesses                  |     108794 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      57.60 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       4.17 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |           
  num loads from dram                |       8686 |       8682 |       8699 |       8677 |       8734 |       8657 |       8746
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0
