                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4067600 |    4085130 |    4103855 |    4093598 |    4088183 |    4109977 |    4108562 |    4126072 |    4117562 |    4097648 |    4124173 |    4113267 |    4106173
    num cache misses                 |      34804 |      35664 |      35819 |      35839 |      35954 |      35556 |      35531 |      35549 |      35557 |      35711 |      35450 |      34866 |      35636
    miss rate                        |      0.86% |      0.87% |      0.87% |      0.88% |      0.88% |      0.87% |      0.86% |      0.86% |      0.86% |      0.87% |      0.86% |      0.85% |      0.87%
    mpki                             |       1.21 |       1.24 |       1.25 |       1.25 |       1.25 |       1.24 |       1.24 |       1.24 |       1.24 |       1.24 |       1.24 |       1.22 |       1.24
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     592639 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      57.54 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       4.11 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      5.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      33364 |      34122 |      34302 |      34308 |      34379 |      34026 |      34012 |      34017 |      34035 |      34237 |      33942 |      33375 |      34127
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
