                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   40121674 |   40120879 |   40117789 |   40103889
  Cycles                             |   53983104 |   53983104 |   53983104 |   53983104
  IPC                                |       0.74 |       0.74 |       0.74 |       0.74
  Time (ns)                          |   20294400 |   20294400 |   20294400 |   20294400
  Idle time (ns)                     |       -113 |        -78 |       -113 |        -78
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |   10022006 |   10021918 |   10021177 |   10017707
  num incorrect                      |       1519 |       1452 |       1442 |       1442
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   20015334 |   20015186 |   20013701 |   20006762
    num misses                       |         52 |         49 |         48 |         48
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |      40210 |      39862 |      39847 |      39847
    num misses                       |         74 |         73 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        126 |        122 |        121 |        121
    num misses                       |        122 |        118 |        117 |        117
    miss rate                        |     96.83% |     96.72% |     96.69% |     96.69%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   20015334 |   20015186 |   20013701 |   20006762
    num cache misses                 |       1569 |       1581 |       1565 |       1495
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      40210 |      39862 |      39847 |      39847
    num cache misses                 |       2626 |       2622 |       2598 |       2597
    miss rate                        |      6.53% |      6.58% |      6.52% |      6.52%
    mpki                             |       0.07 |       0.07 |       0.06 |       0.06
  Cache L2                           |            |            |            |           
    num cache accesses               |       4232 |       4237 |       4197 |       4126
    num cache misses                 |       2810 |       2735 |       2707 |       2716
    miss rate                        |     66.40% |     64.55% |     64.50% |     65.83%
    mpki                             |       0.07 |       0.07 |       0.07 |       0.07
  Cache L3                           |            |            |            |           
    num cache accesses               |       2849 |       2772 |       2744 |       2753
    num cache misses                 |       2481 |       2428 |       2414 |       2414
    miss rate                        |     87.08% |     87.59% |     87.97% |     87.69%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9737 |          0 |          0 |          0
  average dram access latency (ns)   |      69.11 |        inf |        inf |        inf
  average dram queueing delay        |      15.69 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       1125 |       1120 |       1120 |       1123
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
