                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |   28493459 |   28420965 |   28519345 |   28396993 |   28417225 |   28426949 |   28495493 |   28388688 |   28418065 |   28401114 |   28427185 |   28759994 |   28524612
  Cycles                             |  184083704 |  184083704 |  184083704 |  184083704 |  184083704 |  184083704 |  184083704 |  184083704 |  184083704 |  184083704 |  184083704 |  184083704 |  184083704
  IPC                                |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.16 |       0.15
  Time (ns)                          |   69204400 |   69204400 |   69204400 |   69204400 |   69204400 |   69204400 |   69204400 |   69204400 |   69204400 |   69204400 |   69204400 |   69204400 |   69204400
  Idle time (ns)                     |         64 |        122 |        203 |        203 |         64 |         11 |         42 |        144 |        116 |        -11 |         10 |        -86 |        -86
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1054473 |    1053060 |    1054978 |    1052592 |    1052986 |    1053177 |    1054512 |    1052430 |    1053002 |    1052673 |    1053181 |    1059719 |    1055079
  num incorrect                      |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       8006 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2855691 |    2850093 |    2857690 |    2848241 |    2849802 |    2850555 |    2855847 |    2847599 |    2849867 |    2848560 |    2850573 |    2876325 |    2858095
    num misses                       |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         63 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15639698 |   15602025 |   15653152 |   15589565 |   15600080 |   15605133 |   15640756 |   15585246 |   15600514 |   15591708 |   15605256 |   15778156 |   15655873
    num misses                       |       5745 |       5583 |       5800 |       5536 |       5572 |       5597 |       5747 |       5519 |       5574 |       5542 |       5597 |       6344 |       5811
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.20 |       0.20 |       0.20 |       0.19 |       0.20 |       0.20 |       0.20 |       0.19 |       0.20 |       0.20 |       0.20 |       0.22 |       0.20
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       5806 |       5644 |       5861 |       5597 |       5633 |       5658 |       5808 |       5580 |       5635 |       5603 |       5658 |       6407 |       5872
    num misses                       |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        333 |        316
    miss rate                        |      5.44% |      5.60% |      5.39% |      5.65% |      5.61% |      5.59% |      5.44% |      5.66% |      5.61% |      5.64% |      5.59% |      5.20% |      5.38%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2855691 |    2850093 |    2857690 |    2848241 |    2849802 |    2850555 |    2855847 |    2847599 |    2849867 |    2848560 |    2850573 |    2876325 |    2858095
    num cache misses                 |    1748427 |    1734795 |    1722632 |    1720096 |    1717997 |    1715785 |    1705333 |    1706487 |    1707734 |    1705111 |    1706410 |    1666637 |    1696805
    miss rate                        |     61.23% |     60.87% |     60.28% |     60.39% |     60.28% |     60.19% |     59.71% |     59.93% |     59.92% |     59.86% |     59.86% |     57.94% |     59.37%
    mpki                             |      61.36 |      61.04 |      60.40 |      60.57 |      60.46 |      60.36 |      59.85 |      60.11 |      60.09 |      60.04 |      60.03 |      57.95 |      59.49
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   15639698 |   15602025 |   15653152 |   15589565 |   15600080 |   15605133 |   15640756 |   15585246 |   15600514 |   15591708 |   15605256 |   15778156 |   15655873
    num cache misses                 |    2895537 |    2899726 |    2884058 |    2892956 |    2898415 |    2897003 |    2887751 |    2899041 |    2900441 |    2902956 |    2899683 |    2882108 |    2886243
    miss rate                        |     18.51% |     18.59% |     18.42% |     18.56% |     18.58% |     18.56% |     18.46% |     18.60% |     18.59% |     18.62% |     18.58% |     18.27% |     18.44%
    mpki                             |     101.62 |     102.03 |     101.13 |     101.88 |     102.00 |     101.91 |     101.34 |     102.12 |     102.06 |     102.21 |     102.00 |     100.21 |     101.18
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4644721 |    4635283 |    4607442 |    4613809 |    4617184 |    4613569 |    4593859 |    4606275 |    4608956 |    4608851 |    4606872 |    4549545 |    4583839
    num cache misses                 |    3812661 |    3826152 |    3812244 |    3824983 |    3832364 |    3827067 |    3811812 |    3832323 |    3838978 |    3836814 |    3836739 |    3779807 |    3805603
