                                     | Core 0     | Core 1    
  Instructions                       |   50121638 |   50121250
  Cycles                             |  160645380 |  160645380
  IPC                                |       0.31 |       0.31
  Time (ns)                          |   60393000 |   60393000
  Idle time (ns)                     |       -207 |       -207
  Idle time (%)                      |      -0.0% |      -0.0%
Branch predictor stats               |            |           
  num correct                        |   10022009 |   10021957
  num incorrect                      |       1517 |       1472
  misprediction rate                 |      0.02% |      0.01%
  mpki                               |       0.03 |       0.03
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |      15334 |      15246
    num misses                       |         52 |         49
    miss rate                        |      0.34% |      0.32%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   60040203 |   60040012
    num misses                       |        128 |        126
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  L2 TLB                             |            |           
    num accesses                     |        180 |        175
    num misses                       |        121 |        117
    miss rate                        |     67.22% |     66.86%
    mpki                             |       0.00 |       0.00
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      15334 |      15246
    num cache misses                 |        964 |        935
    miss rate                        |      6.29% |      6.13%
    mpki                             |       0.02 |       0.02
  Cache L1-D                         |            |           
    num cache accesses               |   60040203 |   60040012
    num cache misses                 |       1940 |       1936
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.04 |       0.04
  Cache L2                           |            |           
    num cache accesses               |       2942 |       2908
    num cache misses                 |       2570 |       2524
    miss rate                        |     87.36% |     86.80%
    mpki                             |       0.05 |       0.05
  Cache L3                           |            |           
    num cache accesses               |       2609 |       2562
    num cache misses                 |       2476 |       2432
    miss rate                        |     94.90% |     94.93%
    mpki                             |       0.05 |       0.05
DRAM summary                         |            |           
  num dram accesses                  |       4908 |          0
  average dram access latency (ns)   |      65.36 |        inf
  average dram queueing delay        |      11.93 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       1120 |       1114
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
