                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9    
  Instructions                       |   60121709 |   60121573 |   60121475 |   60121338 |   60121377 |   60121344 |   60121247 |   60121575 |   60121214 |   60121052
  Cycles                             |  200364500 |  200364500 |  200364500 |  200364500 |  200364500 |  200364500 |  200364500 |  200364500 |  200364500 |  200364500
  IPC                                |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30
  Time (ns)                          |   75325000 |   75325000 |   75325000 |   75325000 |   75325000 |   75325000 |   75325000 |   75325000 |   75325000 |   75325000
  Idle time (ns)                     |       -107 |         13 |          6 |        -18 |         13 |        -50 |        -18 |         21 |        -58 |          6
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10022011 |   10022007 |   10021992 |   10021980 |   10021985 |   10021981 |   10021969 |   10022007 |   10021966 |   10021946
  num incorrect                      |       1515 |       1510 |       1498 |       1483 |       1490 |       1484 |       1475 |       1510 |       1472 |       1465
  misprediction rate                 |      0.02% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.03 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15333 |      15325 |      15302 |      15277 |      15285 |      15279 |      15259 |      15325 |      15251 |      15223
    num misses                       |         52 |         51 |         51 |         50 |         50 |         50 |         50 |         51 |         49 |         49
    miss rate                        |      0.34% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      40251 |      40239 |      40189 |      40117 |      40142 |      40119 |      40080 |      40239 |      40058 |      39992
    num misses                       |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         72
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        125 |        124 |        124 |        123 |        123 |        123 |        123 |        124 |        122 |        121
    num misses                       |        123 |        122 |        122 |        121 |        121 |        121 |        121 |        122 |        120 |        119
    miss rate                        |     98.40% |     98.39% |     98.39% |     98.37% |     98.37% |     98.37% |     98.37% |     98.39% |     98.36% |     98.35%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15333 |      15325 |      15302 |      15277 |      15285 |      15279 |      15259 |      15325 |      15251 |      15223
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
