                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |   28759893 |   28465038 |   28310529 |   28279022 |   28250014
  Cycles                             |   60320820 |   60320820 |   60320820 |   60320820 |   60320820
  IPC                                |       0.48 |       0.47 |       0.47 |       0.47 |       0.47
  Time (ns)                          |   22677000 |   22677000 |   22677000 |   22677000 |   22677000
  Idle time (ns)                     |        -26 |        -26 |         35 |         18 |         31
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |    1059719 |    1053918 |    1050906 |    1050293 |    1049727
  num incorrect                      |       8006 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |    2876325 |    2853495 |    2841563 |    2839131 |    2836891
    num misses                       |         63 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |           
    num accesses                     |   15778109 |   15624922 |   15544626 |   15528250 |   15513182
    num misses                       |       6344 |       5685 |       5336 |       5275 |       5209
    miss rate                        |      0.04% |      0.04% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.22 |       0.20 |       0.19 |       0.19 |       0.18
  L2 TLB                             |            |            |            |            |           
    num accesses                     |       6407 |       5746 |       5397 |       5336 |       5270
    num misses                       |        333 |        316 |        316 |        316 |        316
    miss rate                        |      5.20% |      5.50% |      5.86% |      5.92% |      6.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |    2876325 |    2853495 |    2841563 |    2839131 |    2836891
    num cache misses                 |     380917 |     427034 |     446812 |     453094 |     457686
    miss rate                        |     13.24% |     14.97% |     15.72% |     15.96% |     16.13%
    mpki                             |      13.24 |      15.00 |      15.78 |      16.02 |      16.20
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |   15778109 |   15624922 |   15544626 |   15528250 |   15513182
    num cache misses                 |     112493 |     115013 |     113720 |     113005 |     111977
    miss rate                        |      0.71% |      0.74% |      0.73% |      0.73% |      0.72%
    mpki                             |       3.91 |       4.04 |       4.02 |       4.00 |       3.96
  Cache L2                           |            |            |            |            |           
    num cache accesses               |     493434 |     542069 |     560555 |     566122 |     569686
    num cache misses                 |      95171 |      92385 |      90871 |      90455 |      90165
    miss rate                        |     19.29% |     17.04% |     16.21% |     15.98% |     15.83%
    mpki                             |       3.31 |       3.25 |       3.21 |       3.20 |       3.19
  Cache L3                           |            |            |            |            |           
    num cache accesses               |      95207 |      92423 |      90908 |      90486 |      90198
    num cache misses                 |      13887 |      13830 |      13831 |      13831 |      13831
    miss rate                        |     14.59% |     14.96% |     15.21% |     15.29% |     15.33%
    mpki                             |       0.48 |       0.49 |       0.49 |       0.49 |       0.49
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |      69422 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      56.94 |        inf |        inf |        inf |        inf
  average dram queueing delay        |       3.51 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |       5783 |       5946 |       5986 |       6068 |       6058
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
