                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |   50121654 |   50117973 |   50118461 |   50112612 |   50111622
  Cycles                             |  200537134 |  200537134 |  200537134 |  200537134 |  200537134
  IPC                                |       0.25 |       0.25 |       0.25 |       0.25 |       0.25
  Time (ns)                          |   75389900 |   75389900 |   75389900 |   75389900 |   75389900
  Idle time (ns)                     |        -41 |        -14 |        -41 |         11 |         34
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |   10022009 |   10021357 |   10021454 |   10020285 |   10020088
  num incorrect                      |       1517 |       1441 |       1441 |       1441 |       1441
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |      15334 |      15165 |      15165 |      15165 |      15165
    num misses                       |         52 |         48 |         48 |         48 |         48
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |           
    num accesses                     |   60040214 |   60036505 |   60037068 |   60030071 |   60028892
    num misses                       |        128 |        126 |        126 |        126 |        126
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |           
    num accesses                     |        180 |        174 |        174 |        174 |        174
    num misses                       |        121 |        116 |        116 |        116 |        116
    miss rate                        |     67.22% |     66.67% |     66.67% |     66.67% |     66.67%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |      15334 |      15165 |      15165 |      15165 |      15165
    num cache misses                 |       3546 |       3526 |       3446 |       3467 |       3534
    miss rate                        |     23.13% |     23.25% |     22.72% |     22.86% |     23.30%
    mpki                             |       0.07 |       0.07 |       0.07 |       0.07 |       0.07
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |   60040214 |   60036505 |   60037068 |   60030071 |   60028892
    num cache misses                 |       3267 |       3296 |       3311 |       3279 |       3265
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.07 |       0.07 |       0.07 |       0.07 |       0.07
  Cache L2                           |            |            |            |            |           
    num cache accesses               |       6848 |       6854 |       6789 |       6778 |       6832
    num cache misses                 |       3183 |       3113 |       3115 |       3113 |       3106
    miss rate                        |     46.48% |     45.42% |     45.88% |     45.93% |     45.46%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
  Cache L3                           |            |            |            |            |           
    num cache accesses               |       3221 |       3149 |       3151 |       3148 |       3141
    num cache misses                 |       2476 |       2410 |       2410 |       2410 |       2410
    miss rate                        |     76.87% |     76.53% |     76.48% |     76.56% |     76.73%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |      12116 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      73.48 |        inf |        inf |        inf |        inf
  average dram queueing delay        |      20.05 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |       1138 |       1132 |       1141 |       1135 |       1131
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
