                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |      36670 |      36670 |      35030 |      35030 |      28417 |      36222 |      36221 |      36190 |      39787 |      35033 |      36149 |      39738
  Cycles                             |     215194 |     215194 |     215194 |     215194 |     215194 |     215194 |     215194 |     215194 |     215194 |     215194 |     215194 |     215194
  IPC                                |       0.17 |       0.17 |       0.16 |       0.16 |       0.13 |       0.17 |       0.17 |       0.17 |       0.18 |       0.16 |       0.17 |       0.18
  Time (ns)                          |      80900 |      80900 |      80900 |      80900 |      80900 |      80900 |      80900 |      80900 |      80900 |      80900 |      80900 |      80900
  Idle time (ns)                     |        143 |        159 |        -97 |        198 |         90 |        229 |        245 |        292 |        317 |         49 |        274 |        123
  Idle time (%)                      |       0.2% |       0.2% |      -0.1% |       0.2% |       0.1% |       0.3% |       0.3% |       0.4% |       0.4% |       0.1% |       0.3% |       0.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |       8451 |       8451 |       8167 |       8167 |       6967 |       8421 |       8421 |       8419 |       8597 |       8169 |       8411 |       8592
  num incorrect                      |        966 |        966 |        910 |        910 |        790 |        954 |        954 |        953 |       1013 |        910 |        950 |       1008
  misprediction rate                 |     10.26% |     10.26% |     10.03% |     10.03% |     10.18% |     10.18% |     10.18% |     10.17% |     10.54% |     10.02% |     10.15% |     10.50%
  mpki                               |      26.34 |      26.34 |      25.98 |      25.98 |      27.80 |      26.34 |      26.34 |      26.33 |      25.46 |      25.98 |      26.28 |      25.37
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       4496 |       4496 |       4258 |       4258 |       3410 |       4434 |       4434 |       4432 |       4784 |       4258 |       4425 |       4775
    num misses                       |         39 |         39 |         38 |         38 |         33 |         38 |         38 |         38 |         43 |         38 |         38 |         42
    miss rate                        |      0.87% |      0.87% |      0.89% |      0.89% |      0.97% |      0.86% |      0.86% |      0.86% |      0.90% |      0.89% |      0.86% |      0.88%
    mpki                             |       1.06 |       1.06 |       1.08 |       1.08 |       1.16 |       1.05 |       1.05 |       1.05 |       1.08 |       1.08 |       1.05 |       1.06
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       8961 |       8961 |       8558 |       8558 |       6541 |       8691 |       8691 |       8680 |      10463 |       8558 |       8679 |      10443
    num misses                       |         22 |         22 |         22 |         22 |         20 |         22 |         22 |         22 |         22 |         22 |         22 |         22
    miss rate                        |      0.25% |      0.25% |      0.26% |      0.26% |      0.31% |      0.25% |      0.25% |      0.25% |      0.21% |      0.26% |      0.25% |      0.21%
    mpki                             |       0.60 |       0.60 |       0.63 |       0.63 |       0.70 |       0.61 |       0.61 |       0.61 |       0.55 |       0.63 |       0.61 |       0.55
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         61 |         61 |         60 |         60 |         53 |         60 |         60 |         60 |         65 |         60 |         60 |         64
    num misses                       |         61 |         61 |         60 |         60 |         53 |         60 |         60 |         60 |         65 |         60 |         60 |         64
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       1.66 |       1.66 |       1.71 |       1.71 |       1.87 |       1.66 |       1.66 |       1.66 |       1.63 |       1.71 |       1.66 |       1.61
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       4496 |       4496 |       4258 |       4258 |       3410 |       4434 |       4434 |       4432 |       4784 |       4258 |       4425 |       4775
    num cache misses                 |       2436 |       2551 |       2296 |       2339 |       1918 |       2620 |       2477 |       2665 |       2500 |       2504 |       2591 |       2525
    miss rate                        |     54.18% |     56.74% |     53.92% |     54.93% |     56.25% |     59.09% |     55.86% |     60.13% |     52.26% |     58.81% |     58.55% |     52.88%
    mpki                             |      66.43 |      69.57 |      65.54 |      66.77 |      67.49 |      72.33 |      68.39 |      73.64 |      62.83 |      71.48 |      71.68 |      63.54
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       8961 |       8961 |       8558 |       8558 |       6541 |       8691 |       8691 |       8680 |      10463 |       8558 |       8679 |      10443
    num cache misses                 |       1925 |       1915 |       1779 |       1853 |       1513 |       2019 |       1883 |       2001 |       1928 |       1935 |       2007 |       1952
    miss rate                        |     21.48% |     21.37% |     20.79% |     21.65% |     23.13% |     23.23% |     21.67% |     23.05% |     18.43% |     22.61% |     23.12% |     18.69%
    mpki                             |      52.50 |      52.22 |      50.79 |      52.90 |      53.24 |      55.74 |      51.99 |      55.29 |      48.46 |      55.23 |      55.52 |      49.12
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       4372 |       4477 |       4086 |       4202 |       3441 |       4650 |       4370 |       4677 |       4446 |       4449 |       4609 |       4494
    num cache misses                 |       2806 |       2681 |       2706 |       2618 |       2127 |       2832 |       2716 |       2781 |       2729 |       2801 |       2668 |       2734
    miss rate                        |     64.18% |     59.88% |     66.23% |     62.30% |     61.81% |     60.90% |     62.15% |     59.46% |     61.38% |     62.96% |     57.89% |     60.84%
    mpki                             |      76.52 |      73.11 |      77.25 |      74.74 |      74.85 |      78.18 |      74.98 |      76.84 |      68.59 |      79.95 |      73.81 |      68.80
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       2818 |       2693 |       2717 |       2629 |       2137 |       2844 |       2727 |       2793 |       2747 |       2812 |       2680 |       2752
    num cache misses                 |        723 |        722 |        699 |        698 |        577 |        706 |        707 |        706 |        779 |        698 |        703 |        773
    miss rate                        |     25.66% |     26.81% |     25.73% |     26.55% |     27.00% |     24.82% |     25.93% |     25.28% |     28.36% |     24.82% |     26.23% |     28.09%
    mpki                             |      19.72 |      19.69 |      19.95 |      19.93 |      20.30 |      19.49 |      19.52 |      19.51 |      19.58 |      19.92 |      19.45 |      19.45
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |       8521 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     431.83 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     378.40 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     88.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        167 |        168 |        170 |        169 |        144 |        166 |        164 |        165 |        185 |        169 |        166 |        181
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
