                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10   
  Instructions                       |      35056 |      39787 |      34734 |      33704 |      36685 |      29078 |      35056 |      37715 |      35056 |      34661 |      34607
  Cycles                             |     196574 |     196574 |     196574 |     196574 |     196574 |     196574 |     196574 |     196574 |     196574 |     196574 |     196574
  IPC                                |       0.18 |       0.20 |       0.18 |       0.17 |       0.19 |       0.15 |       0.18 |       0.19 |       0.18 |       0.18 |       0.18
  Time (ns)                          |      73900 |      73900 |      73900 |      73900 |      73900 |      73900 |      73900 |      73900 |      73900 |      73900 |      73900
  Idle time (ns)                     |        -93 |        505 |        582 |        595 |        496 |        138 |        409 |        586 |        202 |        493 |        569
  Idle time (%)                      |      -0.1% |       0.7% |       0.8% |       0.8% |       0.7% |       0.2% |       0.6% |       0.8% |       0.3% |       0.7% |       0.8%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |       8176 |       8597 |       8118 |       7921 |       8452 |       7057 |       8176 |       8496 |       8176 |       8097 |       8085
  num incorrect                      |        910 |       1013 |        899 |        865 |        966 |        801 |        910 |        972 |        910 |        898 |        894
  misprediction rate                 |     10.02% |     10.54% |      9.97% |      9.85% |     10.26% |     10.19% |     10.02% |     10.27% |     10.02% |      9.98% |      9.96%
  mpki                               |      25.96 |      25.46 |      25.88 |      25.66 |      26.33 |      27.55 |      25.96 |      25.77 |      25.96 |      25.91 |      25.83
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       4263 |       4784 |       4215 |       4095 |       4497 |       3512 |       4263 |       4580 |       4263 |       4202 |       4194
    num misses                       |         38 |         43 |         38 |         35 |         39 |         34 |         38 |         39 |         38 |         38 |         38
    miss rate                        |      0.89% |      0.90% |      0.90% |      0.85% |      0.87% |      0.97% |      0.89% |      0.85% |      0.89% |      0.90% |      0.91%
    mpki                             |       1.08 |       1.08 |       1.09 |       1.04 |       1.06 |       1.17 |       1.08 |       1.03 |       1.08 |       1.10 |       1.10
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       8560 |      10463 |       8501 |       8202 |       8971 |       6758 |       8560 |       9487 |       8560 |       8495 |       8491
    num misses                       |         22 |         22 |         22 |         20 |         22 |         20 |         22 |         22 |         22 |         22 |         22
    miss rate                        |      0.26% |      0.21% |      0.26% |      0.24% |      0.25% |      0.30% |      0.26% |      0.23% |      0.26% |      0.26% |      0.26%
    mpki                             |       0.63 |       0.55 |       0.63 |       0.59 |       0.60 |       0.69 |       0.63 |       0.58 |       0.63 |       0.63 |       0.64
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         60 |         65 |         60 |         55 |         61 |         54 |         60 |         61 |         60 |         60 |         60
    num misses                       |         60 |         65 |         60 |         55 |         61 |         54 |         60 |         61 |         60 |         60 |         60
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       1.71 |       1.63 |       1.73 |       1.63 |       1.66 |       1.86 |       1.71 |       1.62 |       1.71 |       1.73 |       1.73
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       4263 |       4784 |       4215 |       4095 |       4497 |       3512 |       4263 |       4580 |       4263 |       4202 |       4194
    num cache misses                 |       2464 |       2484 |       2484 |       2127 |       2493 |       1912 |       2478 |       2321 |       2474 |       2449 |       2433
    miss rate                        |     57.80% |     51.92% |     58.93% |     51.94% |     55.44% |     54.44% |     58.13% |     50.68% |     58.03% |     58.28% |     58.01%
    mpki                             |      70.29 |      62.43 |      71.51 |      63.11 |      67.96 |      65.75 |      70.69 |      61.54 |      70.57 |      70.66 |      70.30
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       8560 |      10463 |       8501 |       8202 |       8971 |       6758 |       8560 |       9487 |       8560 |       8495 |       8491
    num cache misses                 |       1884 |       1914 |       1900 |       1706 |       1906 |       1497 |       1846 |       1739 |       1917 |       1864 |       1865
    miss rate                        |     22.01% |     18.29% |     22.35% |     20.80% |     21.25% |     22.15% |     21.57% |     18.33% |     22.39% |     21.94% |     21.96%
    mpki                             |      53.74 |      48.11 |      54.70 |      50.62 |      51.96 |      51.48 |      52.66 |      46.11 |      54.68 |      53.78 |      53.89
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       4359 |       4416 |       4395 |       3842 |       4410 |       3419 |       4334 |       4072 |       4402 |       4323 |       4308
    num cache misses                 |       2530 |       2581 |       2576 |       2373 |       2498 |       2093 |       2517 |       2513 |       2611 |       2461 |       2552
    miss rate                        |     58.04% |     58.45% |     58.61% |     61.76% |     56.64% |     61.22% |     58.08% |     61.71% |     59.31% |     56.93% |     59.24%
    mpki                             |      72.17 |      64.87 |      74.16 |      70.41 |      68.09 |      71.98 |      71.80 |      66.63 |      74.48 |      71.00 |      73.74
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       2541 |       2599 |       2588 |       2383 |       2511 |       2103 |       2528 |       2525 |       2622 |       2471 |       2563
    num cache misses                 |        694 |        779 |        689 |        636 |        722 |        602 |        695 |        724 |        694 |        689 |        687
    miss rate                        |     27.31% |     29.97% |     26.62% |     26.69% |     28.75% |     28.63% |     27.49% |     28.67% |     26.47% |     27.88% |     26.80%
    mpki                             |      19.80 |      19.58 |      19.84 |      18.87 |      19.68 |      20.70 |      19.83 |      19.20 |      19.80 |      19.88 |      19.85
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |       7634 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     419.66 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     366.23 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     87.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        164 |        180 |        161 |        158 |        164 |        142 |        166 |        168 |        166 |        167 |        163
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
