                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |   40093449 |   40081008 |   40076476 |   40077932 |   40121666 |   40081177 |   40116103 |   40093656 |   40075825 |   40078621 |   40073824 |   40075336 |   40078765
  Cycles                             |  174388536 |  174388536 |  174388536 |  174388536 |  174388536 |  174388536 |  174388536 |  174388536 |  174388536 |  174388536 |  174388536 |  174388536 |  174388536
  IPC                                |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23
  Time (ns)                          |   65559600 |   65559600 |   65559600 |   65559600 |   65559600 |   65559600 |   65559600 |   65559600 |   65559600 |   65559600 |   65559600 |   65559600 |   65559600
  Idle time (ns)                     |         56 |        -26 |         29 |        -31 |        -69 |         29 |         56 |         23 |        -32 |        -69 |        104 |         81 |         -2
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10015103 |   10011994 |   10010860 |   10011225 |   10022008 |   10012035 |   10020767 |   10015155 |   10010697 |   10011396 |   10010197 |   10010576 |   10011434
  num incorrect                      |       1441 |       1441 |       1441 |       1441 |       1517 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15165 |      15165 |      15165 |      15165 |      15334 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165
