                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14    
    num cache accesses               |    27266255 |    27276421 |    27325073 |    27338359 |    27293195 |    27266952 |    27297266 |    27322100 |    27313948 |    27292617 |    27294251 |    19192942 |    27563312 |    27381377 |    27276661
    num cache misses                 |    27264175 |    27274183 |    27322805 |    27335862 |    27290855 |    27264685 |    27294807 |    27319981 |    27311482 |    27290038 |    27292074 |    19190373 |    27560754 |    27378730 |    27273985
    miss rate                        |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99%
    mpki                             |      567.36 |      566.57 |      564.21 |      563.39 |      565.52 |      567.25 |      566.04 |      564.30 |      564.62 |      565.39 |      565.51 |      574.76 |      549.88 |      558.72 |      567.27
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    27264215 |    27274221 |    27322843 |    27335899 |    27290893 |    27264723 |    27294844 |    27320018 |    27311516 |    27290073 |    27292112 |    19190407 |    27560790 |    27378765 |    27274021
    num cache misses                 |        2666 |        2680 |        2706 |        2706 |        2683 |        2701 |        2697 |        2714 |        2705 |        2708 |        2673 |        2694 |        2778 |        2696 |        2707
    miss rate                        |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01%
    mpki                             |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.08 |        0.06 |        0.06 |        0.06
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |       41218 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      100.08 |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       46.65 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num loads from dram                |        1365 |        1386 |        1413 |        1408 |        1393 |        1409 |        1405 |        1413 |        1414 |        1413 |        1373 |        1411 |        1407 |        1401 |        1404
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
