                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   28706276 |   28661298 |   28648475 |   28674959 |   28714338 |   28652497 |   28719614 |   28759949
  Cycles                             |  114344888 |  114344888 |  114344888 |  114344888 |  114344888 |  114344888 |  114344888 |  114344888
  IPC                                |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25
  Time (ns)                          |   42986800 |   42986800 |   42986800 |   42986800 |   42986800 |   42986800 |   42986800 |   42986800
  Idle time (ns)                     |         98 |         57 |         11 |         38 |         83 |         24 |        -46 |        -46
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    1058622 |    1057745 |    1057494 |    1058011 |    1058779 |    1057574 |    1058882 |    1059719
  num incorrect                      |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       8006
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    2872126 |    2868651 |    2867660 |    2869707 |    2872748 |    2867973 |    2873156 |    2876325
    num misses                       |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         63
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   15750308 |   15726926 |   15720263 |   15734033 |   15754496 |   15722358 |   15757222 |   15778135
    num misses                       |       6213 |       6118 |       6088 |       6149 |       6230 |       6097 |       6240 |       6344
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.21 |       0.21 |       0.21 |       0.22 |       0.21 |       0.22 |       0.22
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       6274 |       6179 |       6149 |       6210 |       6291 |       6158 |       6301 |       6407
    num misses                       |        317 |        316 |        316 |        316 |        318 |        316 |        318 |        333
    miss rate                        |      5.05% |      5.11% |      5.14% |      5.09% |      5.05% |      5.13% |      5.05% |      5.20%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2872126 |    2868651 |    2867660 |    2869707 |    2872748 |    2867973 |    2873156 |    2876325
    num cache misses                 |    1379203 |    1410600 |    1389573 |    1395699 |    1386770 |    1398010 |    1381707 |    1369690
    miss rate                        |     48.02% |     49.17% |     48.46% |     48.64% |     48.27% |     48.75% |     48.09% |     47.62%
    mpki                             |      48.05 |      49.22 |      48.50 |      48.67 |      48.30 |      48.79 |      48.11 |      47.62
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   15750308 |   15726926 |   15720263 |   15734033 |   15754496 |   15722358 |   15757222 |   15778135
    num cache misses                 |    4513971 |    4574912 |    4529794 |    4544849 |    4535573 |    4545363 |    4533959 |    4487955
    miss rate                        |     28.66% |     29.09% |     28.82% |     28.89% |     28.79% |     28.91% |     28.77% |     28.44%
    mpki                             |     157.25 |     159.62 |     158.12 |     158.50 |     157.95 |     158.64 |     157.87 |     156.05
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    5893234 |    5985567 |    5919423 |    5940603 |    5922401 |    5943431 |    5915724 |    5857714
    num cache misses                 |     179792 |     182879 |     183084 |     183353 |     182992 |     182959 |     176207 |     175010
    miss rate                        |      3.05% |      3.06% |      3.09% |      3.09% |      3.09% |      3.08% |      2.98% |      2.99%
    mpki                             |       6.26 |       6.38 |       6.39 |       6.39 |       6.37 |       6.39 |       6.14 |       6.09
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     179862 |     182944 |     183149 |     183416 |     183059 |     183026 |     176277 |     175091
    num cache misses                 |      14658 |      14626 |      14626 |      14626 |      14663 |      14628 |      14696 |      14787
    miss rate                        |      8.15% |      7.99% |      7.99% |      7.97% |      8.01% |      7.99% |      8.34% |      8.45%
    mpki                             |       0.51 |       0.51 |       0.51 |       0.51 |       0.51 |       0.51 |       0.51 |       0.51
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |     124596 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      57.74 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       4.31 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       9444 |       9441 |       9425 |       9421 |       9462 |       9406 |       9454 |       9481
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
