                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |   28662380 |   28681547 |   28704264 |   28645372 |   28651573 |   28667852 |   28555398 |   28569464 |   28559002 |   28759956 |   28572097 |   28599260 |   28681774
  Cycles                             |  228849376 |  228849376 |  228849376 |  228849376 |  228849376 |  228849376 |  228849376 |  228849376 |  228849376 |  228849376 |  228849376 |  228849376 |  228849376
  IPC                                |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.12 |       0.12 |       0.12 |       0.13 |       0.12 |       0.12 |       0.13
  Time (ns)                          |   86033600 |   86033600 |   86033600 |   86033600 |   86033600 |   86033600 |   86033600 |   86033600 |   86033600 |   86033600 |   86033600 |   86033600 |   86033600
  Idle time (ns)                     |        -13 |        241 |        -31 |         67 |        205 |         58 |         88 |        209 |         72 |        -94 |         88 |        -94 |        259
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1057765 |    1058139 |    1058581 |    1057433 |    1057554 |    1057872 |    1055680 |    1055954 |    1055749 |    1059719 |    1056005 |    1056536 |    1058144
  num incorrect                      |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       8006 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2868734 |    2870215 |    2871968 |    2867420 |    2867899 |    2869157 |    2860473 |    2861559 |    2860750 |    2876325 |    2861762 |    2863862 |    2870233
    num misses                       |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         63 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15727487 |   15737452 |   15749250 |   15718649 |   15721871 |   15730335 |   15671888 |   15679198 |   15673758 |   15778139 |   15680567 |   15694676 |   15737571
    num misses                       |       6120 |       6164 |       6210 |       6081 |       6093 |       6132 |       5884 |       5916 |       5891 |       6344 |       5921 |       5985 |       6165
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.21 |       0.21 |       0.22 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.22 |       0.21 |       0.21 |       0.21
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       6181 |       6225 |       6271 |       6142 |       6154 |       6193 |       5945 |       5977 |       5952 |       6407 |       5982 |       6046 |       6226
    num misses                       |        316 |        316 |        317 |        316 |        316 |        316 |        316 |        316 |        316 |        333 |        316 |        316 |        316
    miss rate                        |      5.11% |      5.08% |      5.06% |      5.14% |      5.13% |      5.10% |      5.32% |      5.29% |      5.31% |      5.20% |      5.28% |      5.23% |      5.08%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2868734 |    2870215 |    2871968 |    2867420 |    2867899 |    2869157 |    2860473 |    2861559 |    2860750 |    2876325 |    2861762 |    2863862 |    2870233
    num cache misses                 |    1738742 |    1715973 |    1711339 |    1713637 |    1710272 |    1709755 |    1714552 |    1707869 |    1711957 |    1687193 |    1700760 |    1703050 |    1690739
    miss rate                        |     60.61% |     59.79% |     59.59% |     59.76% |     59.64% |     59.59% |     59.94% |     59.68% |     59.84% |     58.66% |     59.43% |     59.47% |     58.91%
    mpki                             |      60.66 |      59.83 |      59.62 |      59.82 |      59.69 |      59.64 |      60.04 |      59.78 |      59.94 |      58.66 |      59.53 |      59.55 |      58.95
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   15727487 |   15737452 |   15749250 |   15718649 |   15721871 |   15730335 |   15671888 |   15679198 |   15673758 |   15778139 |   15680567 |   15694676 |   15737571
    num cache misses                 |    3089922 |    3085831 |    3089156 |    3084767 |    3089104 |    3088695 |    3104156 |    3097342 |    3100641 |    3086833 |    3096063 |    3087139 |    3080429
    miss rate                        |     19.65% |     19.61% |     19.61% |     19.62% |     19.65% |     19.64% |     19.81% |     19.75% |     19.78% |     19.56% |     19.74% |     19.67% |     19.57%
    mpki                             |     107.80 |     107.59 |     107.62 |     107.69 |     107.82 |     107.74 |     108.71 |     108.41 |     108.57 |     107.33 |     108.36 |     107.94 |     107.40
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4829451 |    4802593 |    4801080 |    4799218 |    4800185 |    4799248 |    4819493 |    4805983 |    4813361 |    4774841 |    4797594 |    4790959 |    4771948
    num cache misses                 |    4168143 |    4166699 |    4180746 |    4181168 |    4185478 |    4183640 |    4208518 |    4198758 |    4207799 |    4158161 |    4195401 |    4189569 |    4171509
    miss rate                        |     86.31% |     86.76% |     87.08% |     87.12% |     87.19% |     87.17% |     87.32% |     87.37% |     87.42% |     87.08% |     87.45% |     87.45% |     87.42%
    mpki                             |     145.42 |     145.27 |     145.65 |     145.96 |     146.08 |     145.93 |     147.38 |     146.97 |     147.34 |     144.58 |     146.84 |     146.49 |     145.44
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4168949 |    4167503 |    4181342 |    4181999 |    4186306 |    4184453 |    4209316 |    4199544 |    4208576 |    4158993 |    4196182 |    4190350 |    4172303
    num cache misses                 |      35505 |      35515 |      35398 |      35582 |      35555 |      35549 |      35549 |      35510 |      35496 |      35949 |      35530 |      35523 |      35497
    miss rate                        |      0.85% |      0.85% |      0.85% |      0.85% |      0.85% |      0.85% |      0.84% |      0.85% |      0.84% |      0.86% |      0.85% |      0.85% |      0.85%
    mpki                             |       1.24 |       1.24 |       1.23 |       1.24 |       1.24 |       1.24 |       1.24 |       1.24 |       1.24 |       1.25 |       1.24 |       1.24 |       1.24
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     587802 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      57.47 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       4.04 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      5.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      34008 |      34022 |      33900 |      34056 |      34080 |      34064 |      34073 |      33959 |      33989 |      34186 |      34011 |      34010 |      34014
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
