                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |   78246946 |   78247253 |   78248948 |   78256762 |   78255273 |   78253904 |   78250419 |   78248998 |   78252712 |   78251358 |   78252910 |   78255337 |   78245915
  Cycles                             |  412703522 |  412703522 |  412703522 |  412703522 |  412703522 |  412703522 |  412703522 |  412703522 |  412703522 |  412703522 |  412703522 |  412703522 |  412703522
  IPC                                |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19
  Time (ns)                          |  155151700 |  155151700 |  155151700 |  155151700 |  155151700 |  155151700 |  155151700 |  155151700 |  155151700 |  155151700 |  155151700 |  155151700 |  155151700
  Idle time (ns)                     |        -71 |         90 |         39 |        -76 |         60 |         60 |         39 |        -10 |         -0 |         53 |        -60 |        121 |        -51
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2171617 |    2171626 |    2171671 |    2171907 |    2171844 |    2171807 |    2171711 |    2171673 |    2171775 |    2171737 |    2171780 |    2171846 |    2171588
  num incorrect                      |        981 |        981 |        981 |       1022 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    8523936 |    8523970 |    8524152 |    8525013 |    8524839 |    8524691 |    8524312 |    8524159 |    8524563 |    8524414 |    8524584 |    8524846 |    8523823
    num misses                       |         40 |         40 |         40 |         43 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   36051165 |   36051316 |   36052090 |   36055637 |   36055002 |   36054371 |   36052770 |   36052118 |   36053824 |   36053201 |   36053913 |   36055030 |   36050692
    num misses                       |         69 |         69 |         69 |         71 |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         69
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        109 |        109 |        109 |        114 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109
    num misses                       |        109 |        109 |        109 |        112 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109
