                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11    
  Instructions                       |    70091777 |    70114517 |    70121711 |    70117429 |    70104237 |    70119535 |    70108059 |    70110009 |    70110286 |    70105647 |    70102613 |    70107405
  Cycles                             |  1658824412 |  1658824412 |  1658824412 |  1658824412 |  1658824412 |  1658824412 |  1658824412 |  1658824412 |  1658824412 |  1658824412 |  1658824412 |  1658824412
  IPC                                |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04
  Time (ns)                          |   623618200 |   623618200 |   623618200 |   623618200 |   623618200 |   623618200 |   623618200 |   623618200 |   623618200 |   623618200 |   623618200 |   623618200
  Idle time (ns)                     |         504 |         380 |         -53 |         -53 |         315 |         585 |         352 |         216 |         105 |         585 |         121 |         567
  Idle time (%)                      |        0.0% |        0.0% |       -0.0% |       -0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    10017763 |    10021012 |    10022008 |    10021428 |    10019543 |    10021728 |    10020089 |    10020368 |    10020408 |    10019745 |    10019311 |    10019996
  num incorrect                      |        1443 |        1443 |        1519 |        1443 |        1443 |        1443 |        1443 |        1443 |        1443 |        1443 |        1443 |        1443
  misprediction rate                 |       0.01% |       0.01% |       0.02% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01%
  mpki                               |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |       15171 |       15171 |       15340 |       15171 |       15171 |       15171 |       15171 |       15171 |       15171 |       15171 |       15171 |       15171
    num misses                       |          48 |          48 |          52 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48
    miss rate                        |       0.32% |       0.32% |       0.34% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    60014973 |    60034470 |    60040231 |    60036952 |    60025659 |    60038771 |    60028935 |    60030608 |    60030842 |    60026867 |    60024268 |    60028375
    num misses                       |          79 |          79 |          80 |          79 |          79 |          79 |          79 |          79 |          79 |          79 |          79 |          79
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |         127 |         127 |         132 |         127 |         127 |         127 |         127 |         127 |         127 |         127 |         127 |         127
    num misses                       |         116 |         116 |         121 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116
    miss rate                        |      91.34% |      91.34% |      91.67% |      91.34% |      91.34% |      91.34% |      91.34% |      91.34% |      91.34% |      91.34% |      91.34% |      91.34%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |       15171 |       15171 |       15340 |       15171 |       15171 |       15171 |       15171 |       15171 |       15171 |       15171 |       15171 |       15171
    num cache misses                 |        6537 |        5501 |        5674 |        6417 |        6587 |        5340 |        6026 |        6240 |        6339 |        6582 |        6201 |        5569
    miss rate                        |      43.09% |      36.26% |      36.99% |      42.30% |      43.42% |      35.20% |      39.72% |      41.13% |      41.78% |      43.39% |      40.87% |      36.71%
    mpki                             |        0.09 |        0.08 |        0.08 |        0.09 |        0.09 |        0.08 |        0.09 |        0.09 |        0.09 |        0.09 |        0.09 |        0.08
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    60014973 |    60034470 |    60040231 |    60036952 |    60025659 |    60038771 |    60028935 |    60030608 |    60030842 |    60026867 |    60024268 |    60028375
    num cache misses                 |    38710842 |    38712345 |    38712856 |    38718190 |    38714780 |    38712869 |    38715505 |    38717435 |    38716194 |    38713817 |    38713993 |    38712198
    miss rate                        |      64.50% |      64.48% |      64.48% |      64.49% |      64.50% |      64.48% |      64.49% |      64.50% |      64.49% |      64.49% |      64.50% |      64.49%
    mpki                             |      552.29 |      552.13 |      552.08 |      552.19 |      552.25 |      552.10 |      552.23 |      552.24 |      552.22 |      552.22 |      552.25 |      552.18
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    38717415 |    38717882 |    38718569 |    38724642 |    38721404 |    38718244 |    38721567 |    38723711 |    38722571 |    38720432 |    38720231 |    38717801
    num cache misses                 |    38713791 |    38715159 |    38715997 |    38721132 |    38717602 |    38715700 |    38718506 |    38720392 |    38719034 |    38716663 |    38717102 |    38715143
    miss rate                        |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99%
    mpki                             |      552.33 |      552.17 |      552.13 |      552.23 |      552.29 |      552.14 |      552.27 |      552.28 |      552.26 |      552.26 |      552.29 |      552.23
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    38713828 |    38715198 |    38716036 |    38721168 |    38717639 |    38715736 |    38718543 |    38720429 |    38719072 |    38716698 |    38717143 |    38715178
    num cache misses                 |        2503 |        2493 |        2578 |        2506 |        2504 |        2500 |        2509 |        2505 |        2505 |        2501 |        2502 |        2499
