                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
    mpki                             |     133.08 |     133.21 |     133.33 |     134.04 |     133.34 |     134.32 |     133.46 |     132.86 |     134.03 |     133.80 |     131.27 |     133.69 |     132.75 |     132.63 |     132.15
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    5535180 |    5533701 |    5530846 |    5545253 |    5523738 |    5551027 |    5523545 |    5510649 |    5547095 |    5531222 |    5458107 |    5511084 |    5494434 |    5491067 |    5475576
    num cache misses                 |    5096268 |    5099230 |    5104134 |    5131732 |    5113694 |    5139865 |    5114427 |    5088126 |    5134295 |    5119062 |    5050265 |    5110629 |    5090606 |    5092801 |    5070882
    miss rate                        |     92.07% |     92.15% |     92.28% |     92.54% |     92.58% |     92.59% |     92.59% |     92.33% |     92.56% |     92.55% |     92.53% |     92.73% |     92.65% |     92.75% |     92.61%
    mpki                             |     179.50 |     179.60 |     179.72 |     180.93 |     180.04 |     181.24 |     179.90 |     178.63 |     180.75 |     180.24 |     175.60 |     180.20 |     178.85 |     178.48 |     177.45
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    5097079 |    5100067 |    5104970 |    5132563 |    5114531 |    5140695 |    5115267 |    5088949 |    5135138 |    5119899 |    5051116 |    5111459 |    5091435 |    5093604 |    5071715
    num cache misses                 |      35739 |      35823 |      35768 |      35758 |      35797 |      35744 |      35753 |      35762 |      35730 |      35777 |      36131 |      35766 |      35733 |      35713 |      35714
    miss rate                        |      0.70% |      0.70% |      0.70% |      0.70% |      0.70% |      0.70% |      0.70% |      0.70% |      0.70% |      0.70% |      0.72% |      0.70% |      0.70% |      0.70% |      0.70%
    mpki                             |       1.26 |       1.26 |       1.26 |       1.26 |       1.26 |       1.26 |       1.26 |       1.26 |       1.26 |       1.26 |       1.26 |       1.26 |       1.26 |       1.25 |       1.25
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     682585 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      57.19 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       3.76 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      5.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      34127 |      34205 |      34173 |      34163 |      34208 |      34180 |      34154 |      34133 |      34151 |      34166 |      34288 |      34160 |      34133 |      34120 |      34083
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
