                                     | Core 0     | Core 1    
  Instructions                       |     138418 |     138152
  Cycles                             |     442624 |     442624
  IPC                                |       0.31 |       0.31
  Time (ns)                          |     166400 |     166400
  Idle time (ns)                     |        -46 |        -46
  Idle time (%)                      |      -0.0% |      -0.0%
Branch predictor stats               |            |           
  num correct                        |      30327 |      30300
  num incorrect                      |       1519 |       1495
  misprediction rate                 |      4.77% |      4.70%
  mpki                               |      10.97 |      10.82
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |      15458 |      15410
    num misses                       |         52 |         50
    miss rate                        |      0.34% |      0.32%
    mpki                             |       0.38 |       0.36
  D-TLB                              |            |           
    num accesses                     |      40223 |      40142
    num misses                       |         72 |         72
    miss rate                        |      0.18% |      0.18%
    mpki                             |       0.52 |       0.52
  L2 TLB                             |            |           
    num accesses                     |        124 |        122
    num misses                       |        122 |        120
    miss rate                        |     98.39% |     98.36%
    mpki                             |       0.88 |       0.87
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      15458 |      15410
    num cache misses                 |        965 |        952
    miss rate                        |      6.24% |      6.18%
    mpki                             |       6.97 |       6.89
  Cache L1-D                         |            |           
    num cache accesses               |      40223 |      40142
    num cache misses                 |       1978 |       1970
    miss rate                        |      4.92% |      4.91%
    mpki                             |      14.29 |      14.26
  Cache L2                           |            |           
    num cache accesses               |       2986 |       2965
    num cache misses                 |       2540 |       2514
    miss rate                        |     85.06% |     84.79%
    mpki                             |      18.35 |      18.20
  Cache L3                           |            |           
    num cache accesses               |       2585 |       2559
    num cache misses                 |       2477 |       2446
    miss rate                        |     95.82% |     95.58%
    mpki                             |      17.90 |      17.71
DRAM summary                         |            |           
  num dram accesses                  |       4923 |          0
  average dram access latency (ns)   |      68.24 |        inf
  average dram queueing delay        |      14.81 |       0.00
  average dram bandwidth utilization |     24.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       1125 |       1122
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
