                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |   28702077 |   28695629 |   28759972 |   28751722 |   28748342 |   28730539 |   28752629 |   28745045 |   28752235 |   28738760 |   28723919 |   28744958 |   28746257
  Cycles                             |  156471308 |  156471308 |  156471308 |  156471308 |  156471308 |  156471308 |  156471308 |  156471308 |  156471308 |  156471308 |  156471308 |  156471308 |  156471308
  IPC                                |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18
  Time (ns)                          |   58823800 |   58823800 |   58823800 |   58823800 |   58823800 |   58823800 |   58823800 |   58823800 |   58823800 |   58823800 |   58823800 |   58823800 |   58823800
  Idle time (ns)                     |        126 |         80 |        -60 |        110 |        -41 |         80 |         21 |        -41 |         21 |        147 |        132 |        142 |         -5
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1058539 |    1058413 |    1059719 |    1059506 |    1059441 |    1059094 |    1059525 |    1059376 |    1059516 |    1059253 |    1058965 |    1059374 |    1059401
  num incorrect                      |       7955 |       7955 |       8006 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2871800 |    2871301 |    2876325 |    2875633 |    2875373 |    2873998 |    2875704 |    2875117 |    2875672 |    2874631 |    2873487 |    2875110 |    2875212
    num misses                       |         61 |         61 |         63 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
