                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   12597126 |   12621657 |   12618152 |   12605773
  Cycles                             |   17155936 |   17155936 |   17155936 |   17155936
  IPC                                |       0.73 |       0.74 |       0.74 |       0.73
  Time (ns)                          |    6449600 |    6449600 |    6449600 |    6449600
  Idle time (ns)                     |          7 |        -37 |        -37 |          2
  Idle time (%)                      |       0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    2517206 |    2522009 |    2521406 |    2518931
  num incorrect                      |       1440 |       1516 |       1440 |       1440
  misprediction rate                 |      0.06% |      0.06% |      0.06% |      0.06%
  mpki                               |       0.11 |       0.12 |       0.11 |       0.11
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |      15164 |      15333 |      15164 |      15164
    num misses                       |         48 |         52 |         48 |         48
    miss rate                        |      0.32% |      0.34% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |      39841 |      40218 |      39841 |      39841
    num misses                       |         73 |         74 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |           
    num accesses                     |        121 |        126 |        121 |        121
    num misses                       |        116 |        121 |        116 |        116
    miss rate                        |     95.87% |     96.03% |     95.87% |     95.87%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      15164 |      15333 |      15164 |      15164
    num cache misses                 |       1478 |       1588 |       1524 |       1513
    miss rate                        |      9.75% |     10.36% |     10.05% |      9.98%
    mpki                             |       0.12 |       0.13 |       0.12 |       0.12
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      39841 |      40218 |      39841 |      39841
    num cache misses                 |       2718 |       2728 |       2715 |       2755
    miss rate                        |      6.82% |      6.78% |      6.81% |      6.91%
    mpki                             |       0.22 |       0.22 |       0.22 |       0.22
  Cache L2                           |            |            |            |           
    num cache accesses               |       4231 |       4356 |       4274 |       4305
    num cache misses                 |       2681 |       2777 |       2683 |       2681
    miss rate                        |     63.37% |     63.75% |     62.77% |     62.28%
    mpki                             |       0.21 |       0.22 |       0.21 |       0.21
  Cache L3                           |            |            |            |           
    num cache accesses               |       2720 |       2819 |       2722 |       2722
    num cache misses                 |       2412 |       2479 |       2412 |       2412
    miss rate                        |     88.68% |     87.94% |     88.61% |     88.61%
    mpki                             |       0.19 |       0.20 |       0.19 |       0.19
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9715 |          0 |          0 |          0
  average dram access latency (ns)   |      71.53 |        inf |        inf |        inf
  average dram queueing delay        |      18.10 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       1122 |       1130 |       1122 |       1126
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
