                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |    9688379 |    9714102 |    9856805 |    9729119 |    9761824 |    9892646 |    9786923 |    9791532 |    9892590 |    9811772 |    9838857 |    9869057 |    9893082 |    9829509 |    9877242
  Cycles                             |   99827140 |   99827140 |   99827140 |   99827140 |   99827140 |   99827140 |   99827140 |   99827140 |   99827140 |   99827140 |   99827140 |   99827140 |   99827140 |   99827140 |   99827140
  IPC                                |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
  Time (ns)                          |   37529000 |   37529000 |   37529000 |   37529000 |   37529000 |   37529000 |   37529000 |   37529000 |   37529000 |   37529000 |   37529000 |   37529000 |   37529000 |   37529000 |   37529000
  Idle time (ns)                     |        202 |          2 |        202 |        -57 |        191 |         78 |        191 |         78 |         42 |         42 |        -25 |        129 |        -97 |        -97 |        103
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     281665 |     282378 |     286332 |     282794 |     283702 |     287325 |     284397 |     284525 |     287324 |     285086 |     285836 |     286673 |     287362 |     285577 |     286899
  num incorrect                      |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |       1015 |        974 |        974
  misprediction rate                 |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.35% |      0.34% |      0.34%
  mpki                               |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1063864 |    1066673 |    1082247 |    1068312 |    1071883 |    1086159 |    1074622 |    1075125 |    1086154 |    1077334 |    1080291 |    1083587 |    1086228 |    1079270 |    1084479
    num misses                       |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         43 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4470455 |    4482296 |    4547956 |    4489196 |    4504255 |    4564447 |    4515804 |    4517924 |    4564421 |    4527236 |    4539700 |    4553595 |    4564600 |    4535393 |    4557361
    num misses                       |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         75 |         72 |         72
    num misses                       |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         75 |         72 |         72
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
