                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |      89915 |      85219 |      90062 |      87369 |      90563 |      85749 |      85562 |      84845 |      84315 |      84300 |      84057 |      83895
  Cycles                             |    1046178 |    1046178 |    1046178 |    1046178 |    1046178 |    1046178 |    1046178 |    1046178 |    1046178 |    1046178 |    1046178 |    1046178
  IPC                                |       0.09 |       0.08 |       0.09 |       0.08 |       0.09 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08
  Time (ns)                          |     393300 |     393300 |     393300 |     393300 |     393300 |     393300 |     393300 |     393300 |     393300 |     393300 |     393300 |     393300
  Idle time (ns)                     |         61 |         43 |        -44 |          8 |        -59 |         61 |        201 |        -11 |        -59 |        223 |        167 |        -44
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.1% |      -0.0% |      -0.0% |       0.1% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      19552 |      18612 |      19581 |      19042 |      19646 |      18718 |      18681 |      18538 |      18432 |      18429 |      18380 |      18348
  num incorrect                      |       1046 |       1046 |       1046 |       1046 |       1085 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046
  misprediction rate                 |      5.08% |      5.32% |      5.07% |      5.21% |      5.23% |      5.29% |      5.30% |      5.34% |      5.37% |      5.37% |      5.38% |      5.39%
  mpki                               |      11.63 |      12.27 |      11.61 |      11.97 |      11.98 |      12.20 |      12.23 |      12.33 |      12.41 |      12.41 |      12.44 |      12.47
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       4798 |       4798 |       4798 |       4798 |       4859 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798
    num misses                       |         42 |         42 |         42 |         42 |         45 |         42 |         42 |         42 |         42 |         42 |         42 |         42
    miss rate                        |      0.88% |      0.88% |      0.88% |      0.88% |      0.93% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88%
    mpki                             |       0.47 |       0.49 |       0.47 |       0.48 |       0.50 |       0.49 |       0.49 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      69218 |      63576 |      69376 |      66160 |      69710 |      64216 |      63991 |      63134 |      62491 |      62476 |      62186 |      61984
    num misses                       |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.23 |       0.25 |       0.23 |       0.24 |       0.23 |       0.24 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         63 |         63 |         63 |         63 |         66 |         63 |         63 |         63 |         63 |         63 |         63 |         63
    num misses                       |         63 |         63 |         63 |         63 |         66 |         63 |         63 |         63 |         63 |         63 |         63 |         63
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.70 |       0.74 |       0.70 |       0.72 |       0.73 |       0.73 |       0.74 |       0.74 |       0.75 |       0.75 |       0.75 |       0.75
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
