                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10   
  Instructions                       |   40026024 |   40107612 |   40121695 |   40097021 |   40074917 |   40074937 |   40040065 |   40027605 |   40028889 |   40014703 |   40014192
  Cycles                             |  147485296 |  147485296 |  147485296 |  147485296 |  147485296 |  147485296 |  147485296 |  147485296 |  147485296 |  147485296 |  147485296
  IPC                                |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27
  Time (ns)                          |   55445600 |   55445600 |   55445600 |   55445600 |   55445600 |   55445600 |   55445600 |   55445600 |   55445600 |   55445600 |   55445600
  Idle time (ns)                     |        -54 |        -17 |        -90 |        -28 |        -28 |        -54 |        -61 |         42 |        -72 |        -90 |         31
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    9998235 |   10018631 |   10022006 |   10015984 |   10010458 |   10010463 |   10001745 |    9998631 |    9998951 |    9995404 |    9995277
  num incorrect                      |       1442 |       1442 |       1519 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442
  misprediction rate                 |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   19967818 |   20008610 |   20015334 |   20003315 |   19992263 |   19992272 |   19974836 |   19968609 |   19969250 |   19962155 |   19961901
    num misses                       |         48 |         48 |         52 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      39847 |      39847 |      40224 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847
    num misses                       |         73 |         73 |         74 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        121 |        121 |        126 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121
    num misses                       |        117 |        117 |        122 |        117 |        117 |        117 |        117 |        117 |        117 |        117 |        117
    miss rate                        |     96.69% |     96.69% |     96.83% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   19967818 |   20008610 |   20015334 |   20003315 |   19992263 |   19992272 |   19974836 |   19968609 |   19969250 |   19962155 |   19961901
    num cache misses                 |     673685 |     667975 |     662867 |     660027 |     657847 |     655916 |     655661 |     654911 |     655032 |     654842 |     654221
    miss rate                        |      3.37% |      3.34% |      3.31% |      3.30% |      3.29% |      3.28% |      3.28% |      3.28% |      3.28% |      3.28% |      3.28%
    mpki                             |      16.83 |      16.65 |      16.52 |      16.46 |      16.42 |      16.37 |      16.38 |      16.36 |      16.36 |      16.37 |      16.35
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      39847 |      39847 |      40224 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847
    num cache misses                 |       6551 |       6876 |       7042 |       7479 |       7554 |       7123 |       7529 |       7235 |       7454 |       7408 |       7154
    miss rate                        |     16.44% |     17.26% |     17.51% |     18.77% |     18.96% |     17.88% |     18.89% |     18.16% |     18.71% |     18.59% |     17.95%
    mpki                             |       0.16 |       0.17 |       0.18 |       0.19 |       0.19 |       0.18 |       0.19 |       0.18 |       0.19 |       0.19 |       0.18
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     680268 |     674882 |     669940 |     667535 |     665430 |     663067 |     663219 |     662177 |     662516 |     662280 |     661406
    num cache misses                 |     668226 |     667904 |     665447 |     663125 |     661158 |     659834 |     659416 |     658579 |     658644 |     658462 |     658187
    miss rate                        |     98.23% |     98.97% |     99.33% |     99.34% |     99.36% |     99.51% |     99.43% |     99.46% |     99.42% |     99.42% |     99.51%
    mpki                             |      16.69 |      16.65 |      16.59 |      16.54 |      16.50 |      16.47 |      16.47 |      16.45 |      16.45 |      16.46 |      16.45
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     668259 |     667937 |     665480 |     663154 |     661189 |     659862 |     659448 |     658612 |     658674 |     658497 |     658220
    num cache misses                 |       2416 |       2416 |       2491 |       2415 |       2415 |       2415 |       2415 |       2415 |       2415 |       2415 |       2415
    miss rate                        |      0.36% |      0.36% |      0.37% |      0.36% |      0.37% |      0.37% |      0.37% |      0.37% |      0.37% |      0.37% |      0.37%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      26648 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      84.39 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      30.97 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1158 |       1156 |       1161 |       1165 |       1165 |       1160 |       1170 |       1167 |       1160 |       1163 |       1157
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
