                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |    6728840 |    6727684 |    6723916 |    6723800 |    6723766 |    6726639 |    6727537 |    6727746 |    6725372 |    6718319 |    6727411 |    6728365 |    6727560
  Cycles                             |   36273622 |   36273622 |   36273622 |   36273622 |   36273622 |   36273622 |   36273622 |   36273622 |   36273622 |   36273622 |   36273622 |   36273622 |   36273622
  IPC                                |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19
  Time (ns)                          |   13636700 |   13636700 |   13636700 |   13636700 |   13636700 |   13636700 |   13636700 |   13636700 |   13636700 |   13636700 |   13636700 |   13636700 |   13636700
  Idle time (ns)                     |        -45 |         53 |         32 |        -45 |         32 |        100 |        164 |         83 |        -27 |        132 |         15 |         15 |        132
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     259678 |     259603 |     259529 |     259526 |     259526 |     259583 |     259600 |     259604 |     259558 |     259419 |     259598 |     259635 |     259601
  num incorrect                      |       3961 |       3911 |       3911 |       3911 |       3911 |       3911 |       3911 |       3911 |       3911 |       3911 |       3911 |       3925 |       3911
  misprediction rate                 |      1.50% |      1.48% |      1.48% |      1.48% |      1.48% |      1.48% |      1.48% |      1.48% |      1.48% |      1.49% |      1.48% |      1.49% |      1.48%
  mpki                               |       0.59 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     680639 |     680497 |     680205 |     680195 |     680194 |     680417 |     680485 |     680502 |     680318 |     679772 |     680476 |     680571 |     680487
    num misses                       |         62 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    3650245 |    3649708 |    3647742 |    3647680 |    3647671 |    3649165 |    3649629 |    3649741 |    3648495 |    3644836 |    3649565 |    3650080 |    3649643
    num misses                       |        107 |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        102 |        101
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |           
