                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |   40109555 |   40101656 |   40099096 |   40111569 |   40100993 |   40095960 |   40110976 |   40096564 |   40121699
  Cycles                             |  120712130 |  120712130 |  120712130 |  120712130 |  120712130 |  120712130 |  120712130 |  120712130 |  120712130
  IPC                                |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33
  Time (ns)                          |   45380500 |   45380500 |   45380500 |   45380500 |   45380500 |   45380500 |   45380500 |   45380500 |   45380500
  Idle time (ns)                     |         33 |          8 |        -14 |        -47 |         15 |        -18 |         77 |          8 |        -47
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |   10019130 |   10017155 |   10016516 |   10019635 |   10016991 |   10015732 |   10019486 |   10015884 |   10022008
  num incorrect                      |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1517
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15334
    num misses                       |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         52
    miss rate                        |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.34%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      39839 |      39839 |      39839 |      39839 |      39839 |      39839 |      39839 |      39839 |      40239
    num misses                       |         75 |         75 |         75 |         75 |         75 |         75 |         75 |         75 |         76
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |        123 |        123 |        123 |        123 |        123 |        123 |        123 |        123 |        128
    num misses                       |        116 |        116 |        116 |        116 |        116 |        116 |        116 |        116 |        121
    miss rate                        |     94.31% |     94.31% |     94.31% |     94.31% |     94.31% |     94.31% |     94.31% |     94.31% |     94.53%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15334
    num cache misses                 |       5542 |       5798 |       5723 |       5437 |       5422 |       5240 |       5689 |       5568 |       5591
    miss rate                        |     36.54% |     38.23% |     37.74% |     35.85% |     35.75% |     34.55% |     37.51% |     36.72% |     36.46%
    mpki                             |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.13 |       0.14 |       0.14 |       0.14
  Cache L1-D                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |      39839 |      39839 |      39839 |      39839 |      39839 |      39839 |      39839 |      39839 |      40239
    num cache misses                 |       5901 |       5995 |       6002 |       5933 |       5855 |       5742 |       5931 |       5911 |       5893
    miss rate                        |     14.81% |     15.05% |     15.07% |     14.89% |     14.70% |     14.41% |     14.89% |     14.84% |     14.64%
    mpki                             |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.14 |       0.15 |       0.15 |       0.15
  Cache L2                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |      11475 |      11826 |      11756 |      11403 |      11307 |      11015 |      11651 |      11511 |      11516
    num cache misses                 |       6614 |       6850 |       7236 |       6904 |       6845 |       6948 |       6744 |       7002 |       6840
    miss rate                        |     57.64% |     57.92% |     61.55% |     60.55% |     60.54% |     63.08% |     57.88% |     60.83% |     59.40%
    mpki                             |       0.16 |       0.17 |       0.18 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17
  Cache L3                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |       6648 |       6883 |       7269 |       6938 |       6877 |       6985 |       6778 |       7038 |       6873
    num cache misses                 |       2501 |       2501 |       2520 |       2510 |       2477 |       2517 |       2495 |       2514 |       2532
    miss rate                        |     37.62% |     36.34% |     34.67% |     36.18% |     36.02% |     36.03% |     36.81% |     35.72% |     36.84%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      22727 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      84.91 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      31.48 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
