                                     | Core 0     | Core 1    
  Instructions                       |      90404 |      90563
  Cycles                             |     246050 |     246050
  IPC                                |       0.37 |       0.37
  Time (ns)                          |      92500 |      92500
  Idle time (ns)                     |        -98 |       -552
  Idle time (%)                      |      -0.1% |      -0.6%
Branch predictor stats               |            |           
  num correct                        |      19628 |      19646
  num incorrect                      |       1072 |       1085
  misprediction rate                 |      5.18% |      5.23%
  mpki                               |      11.86 |      11.98
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |       4839 |       4859
    num misses                       |         44 |         45
    miss rate                        |      0.91% |      0.93%
    mpki                             |       0.49 |       0.50
  D-TLB                              |            |           
    num accesses                     |      69680 |      69713
    num misses                       |         21 |         21
    miss rate                        |      0.03% |      0.03%
    mpki                             |       0.23 |       0.23
  L2 TLB                             |            |           
    num accesses                     |         65 |         66
    num misses                       |         65 |         66
    miss rate                        |    100.00% |    100.00%
    mpki                             |       0.72 |       0.73
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |       4839 |       4859
    num cache misses                 |        500 |        503
    miss rate                        |     10.33% |     10.35%
    mpki                             |       5.53 |       5.55
  Cache L1-D                         |            |           
    num cache accesses               |      69680 |      69713
    num cache misses                 |        317 |        324
    miss rate                        |      0.45% |      0.46%
    mpki                             |       3.51 |       3.58
  Cache L2                           |            |           
    num cache accesses               |        840 |        850
    num cache misses                 |        743 |        763
    miss rate                        |     88.45% |     89.76%
    mpki                             |       8.22 |       8.43
  Cache L3                           |            |           
    num cache accesses               |        766 |        786
    num cache misses                 |        741 |        761
    miss rate                        |     96.74% |     96.82%
    mpki                             |       8.20 |       8.40
DRAM summary                         |            |           
  num dram accesses                  |       1502 |          0
  average dram access latency (ns)   |      80.77 |        inf
  average dram queueing delay        |      27.34 |       0.00
  average dram bandwidth utilization |     13.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |        158 |        167
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
