                                     | Core 0     | Core 1    
  Instructions                       |   78256662 |   78256678
  Cycles                             |   31849776 |   31849776
  IPC                                |       2.46 |       2.46
  Time (ns)                          |   11973600 |   11973600
  Idle time (ns)                     |        -89 |        -85
  Idle time (%)                      |      -0.0% |      -0.0%
Branch predictor stats               |            |           
  num correct                        |    2171906 |    2171907
  num incorrect                      |       1022 |       1022
  misprediction rate                 |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    8525009 |    8525013
    num misses                       |         42 |         43
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   36055645 |   36055649
    num misses                       |         71 |         71
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  L2 TLB                             |            |           
    num accesses                     |        113 |        114
    num misses                       |        111 |        112
    miss rate                        |     98.23% |     98.25%
    mpki                             |       0.00 |       0.00
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    8525009 |    8525013
    num cache misses                 |        472 |        474
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01
  Cache L1-D                         |            |           
    num cache accesses               |   36055645 |   36055649
    num cache misses                 |    2119624 |    2119624
    miss rate                        |      5.88% |      5.88%
    mpki                             |      27.09 |      27.09
  Cache L2                           |            |           
    num cache accesses               |    2120119 |    2120121
    num cache misses                 |       3826 |       3828
    miss rate                        |      0.18% |      0.18%
    mpki                             |       0.05 |       0.05
  Cache L3                           |            |           
    num cache accesses               |       3850 |       3852
    num cache misses                 |       3824 |       3826
    miss rate                        |     99.32% |     99.33%
    mpki                             |       0.05 |       0.05
DRAM summary                         |            |           
  num dram accesses                  |       7650 |          0
  average dram access latency (ns)   |      62.31 |        inf
  average dram queueing delay        |       8.88 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |        165 |        165
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
