                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   28759889 |   28737319 |   28759901 |   28738558
  Cycles                             |   48580112 |   48580112 |   48580112 |   48580112
  IPC                                |       0.59 |       0.59 |       0.59 |       0.59
  Time (ns)                          |   18263200 |   18263200 |   18263200 |   18263200
  Idle time (ns)                     |        -96 |        -96 |       -127 |       -127
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    1059718 |    1059226 |    1059719 |    1059250
  num incorrect                      |       8006 |       7955 |       8006 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    2876321 |    2874522 |    2876325 |    2874617
    num misses                       |         63 |         61 |         63 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   15778106 |   15766438 |   15778115 |   15767077
    num misses                       |       6344 |       6281 |       6344 |       6285
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.22 |       0.22 |       0.22
  L2 TLB                             |            |            |            |           
    num accesses                     |       6407 |       6342 |       6407 |       6346
    num misses                       |        333 |        320 |        333 |        320
    miss rate                        |      5.20% |      5.05% |      5.20% |      5.04%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    2876321 |    2874522 |    2876325 |    2874617
    num cache misses                 |     137784 |     138927 |     137246 |     138844
    miss rate                        |      4.79% |      4.83% |      4.77% |      4.83%
    mpki                             |       4.79 |       4.83 |       4.77 |       4.83
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   15778106 |   15766438 |   15778115 |   15767077
    num cache misses                 |     162417 |     163164 |     160134 |     159479
    miss rate                        |      1.03% |      1.03% |      1.01% |      1.01%
    mpki                             |       5.65 |       5.68 |       5.57 |       5.55
  Cache L2                           |            |            |            |           
    num cache accesses               |     300227 |     302116 |     297406 |     298348
    num cache misses                 |      62641 |      62333 |      62629 |      62319
    miss rate                        |     20.86% |     20.63% |     21.06% |     20.89%
    mpki                             |       2.18 |       2.17 |       2.18 |       2.17
  Cache L3                           |            |            |            |           
    num cache accesses               |      62679 |      62367 |      62671 |      62351
    num cache misses                 |      13875 |      13819 |      13882 |      13819
    miss rate                        |     22.14% |     22.16% |     22.15% |     22.16%
    mpki                             |       0.48 |       0.48 |       0.48 |       0.48
DRAM summary                         |            |            |            |           
  num dram accesses                  |      55395 |          0 |          0 |          0
  average dram access latency (ns)   |      56.65 |        inf |        inf |        inf
  average dram queueing delay        |       3.23 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       4647 |       4643 |       4656 |       4644
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
