                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6    
  Instructions                       |     121627 |     120619 |     120578 |     120922 |     120779 |     120684 |     120484
  Cycles                             |     657286 |     657286 |     657286 |     657286 |     657286 |     657286 |     657286
  IPC                                |       0.19 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18
  Time (ns)                          |     247100 |     247100 |     247100 |     247100 |     247100 |     247100 |     247100
  Idle time (ns)                     |       -954 |        -52 |       1399 |       -954 |        353 |        353 |        -52
  Idle time (%)                      |      -0.4% |      -0.0% |       0.6% |      -0.4% |       0.1% |       0.1% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |           
  num correct                        |      22012 |      21911 |      21908 |      21932 |      21916 |      21915 |      21904
  num incorrect                      |       1514 |       1436 |       1435 |       1453 |       1447 |       1438 |       1428
  misprediction rate                 |      6.44% |      6.15% |      6.15% |      6.21% |      6.19% |      6.16% |      6.12%
  mpki                               |      12.45 |      11.91 |      11.90 |      12.02 |      11.98 |      11.92 |      11.85
TLB Summary                          |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |           
    num accesses                     |      15330 |      15149 |      15142 |      15193 |      15177 |      15161 |      15130
    num misses                       |         52 |         47 |         47 |         49 |         49 |         48 |         46
    miss rate                        |      0.34% |      0.31% |      0.31% |      0.32% |      0.32% |      0.32% |      0.30%
    mpki                             |       0.43 |       0.39 |       0.39 |       0.41 |       0.41 |       0.40 |       0.38
  D-TLB                              |            |            |            |            |            |            |           
    num accesses                     |      40200 |      39792 |      39774 |      39934 |      39865 |      39827 |      39732
    num misses                       |         77 |         76 |         76 |         76 |         76 |         76 |         76
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63
  L2 TLB                             |            |            |            |            |            |            |           
    num accesses                     |        129 |        123 |        123 |        125 |        125 |        124 |        122
    num misses                       |        123 |        117 |        117 |        119 |        119 |        118 |        116
    miss rate                        |     95.35% |     95.12% |     95.12% |     95.20% |     95.20% |     95.16% |     95.08%
    mpki                             |       1.01 |       0.97 |       0.97 |       0.98 |       0.99 |       0.98 |       0.96
Cache Summary                        |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |           
    num cache accesses               |      15330 |      15149 |      15142 |      15193 |      15177 |      15161 |      15130
    num cache misses                 |       4930 |       5642 |       5299 |       5231 |       5383 |       5542 |       5184
    miss rate                        |     32.16% |     37.24% |     35.00% |     34.43% |     35.47% |     36.55% |     34.26%
    mpki                             |      40.53 |      46.78 |      43.95 |      43.26 |      44.57 |      45.92 |      43.03
  Cache L1-D                         |            |            |            |            |            |            |           
    num cache accesses               |      40200 |      39792 |      39774 |      39934 |      39865 |      39827 |      39732
    num cache misses                 |       4497 |       4827 |       4711 |       4675 |       4772 |       4843 |       4629
    miss rate                        |     11.19% |     12.13% |     11.84% |     11.71% |     11.97% |     12.16% |     11.65%
    mpki                             |      36.97 |      40.02 |      39.07 |      38.66 |      39.51 |      40.13 |      38.42
  Cache L2                           |            |            |            |            |            |            |           
    num cache accesses               |       9462 |      10502 |      10042 |       9939 |      10188 |      10418 |       9845
    num cache misses                 |       3935 |       3927 |       3865 |       3918 |       3952 |       3944 |       3866
    miss rate                        |     41.59% |     37.39% |     38.49% |     39.42% |     38.79% |     37.86% |     39.27%
    mpki                             |      32.35 |      32.56 |      32.05 |      32.40 |      32.72 |      32.68 |      32.09
  Cache L3                           |            |            |            |            |            |            |           
    num cache accesses               |       3970 |       3962 |       3900 |       3952 |       3985 |       3977 |       3900
    num cache misses                 |       2475 |       2401 |       2397 |       2424 |       2419 |       2408 |       2386
    miss rate                        |     62.34% |     60.60% |     61.46% |     61.34% |     60.70% |     60.55% |     61.18%
    mpki                             |      20.35 |      19.91 |      19.88 |      20.05 |      20.03 |      19.95 |      19.80
DRAM summary                         |            |            |            |            |            |            |           
  num dram accesses                  |      16910 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      79.69 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      26.26 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     57.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |           
  num loads from dram                |       1147 |       1146 |       1139 |       1142 |       1138 |       1139 |       1143
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0
