                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13   
  Instructions                       |   50120736 |   50120470 |   50120532 |   50121432 |   50121702 |   50120883 |   50120690 |   50120645 |   50121070 |   50121167 |   50120515 |   50120312 |   50120810 |   50121020
  Cycles                             |  560497910 |  560497910 |  560497910 |  560497910 |  560497910 |  560497910 |  560497910 |  560497910 |  560497910 |  560497910 |  560497910 |  560497910 |  560497910 |  560497910
  IPC                                |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09
  Time (ns)                          |  210713500 |  210713500 |  210713500 |  210713500 |  210713500 |  210713500 |  210713500 |  210713500 |  210713500 |  210713500 |  210713500 |  210713500 |  210713500 |  210713500
  Idle time (ns)                     |        101 |         14 |         -9 |         54 |        -61 |         37 |        -26 |        101 |        -61 |         31 |        118 |         30 |         14 |         29
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10021909 |   10021856 |   10021868 |   10021986 |   10022009 |   10021928 |   10021900 |   10021891 |   10021944 |   10021957 |   10021865 |   10021825 |   10021916 |   10021936
  num incorrect                      |       1441 |       1441 |       1441 |       1496 |       1517 |       1453 |       1441 |       1441 |       1469 |       1472 |       1441 |       1441 |       1450 |       1468
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15165 |      15165 |      15165 |      15294 |      15334 |      15188 |      15165 |      15165 |      15227 |      15246 |      15165 |      15165 |      15184 |      15216
    num misses                       |         48 |         48 |         48 |         51 |         52 |         49 |         48 |         48 |         49 |         49 |         48 |         48 |         49 |         49
    miss rate                        |      0.32% |      0.32% |      0.32% |      0.33% |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   60039816 |   60039496 |   60039571 |   60040155 |   60040237 |   60039914 |   60039765 |   60039709 |   60039978 |   60040027 |   60039553 |   60039311 |   60039888 |   60039965
