                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |    9979061 |    9910400 |    9936264 |    9935218 |    9928312 |    9930654
  Cycles                             |   27209672 |   27209672 |   27209672 |   27209672 |   27209672 |   27209672
  IPC                                |       0.37 |       0.36 |       0.37 |       0.37 |       0.36 |       0.36
  Time (ns)                          |   10229200 |   10229200 |   10229200 |   10229200 |   10229200 |   10229200
  Idle time (ns)                     |        -37 |         65 |         16 |        -37 |         47 |          7
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |     301064 |     299089 |     299806 |     299778 |     299586 |     299651
  num incorrect                      |       1544 |       1467 |       1467 |       1467 |       1467 |       1467
  misprediction rate                 |      0.51% |      0.49% |      0.49% |      0.49% |      0.49% |      0.49%
  mpki                               |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    1097185 |    1089629 |    1092453 |    1092340 |    1091585 |    1091841
    num misses                       |         52 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    4596310 |    4564779 |    4576681 |    4576183 |    4573023 |    4574100
    num misses                       |         94 |         92 |         92 |         92 |         92 |         92
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |        146 |        140 |        140 |        140 |        140 |        140
    num misses                       |        134 |        129 |        129 |        129 |        129 |        129
    miss rate                        |     91.78% |     92.14% |     92.14% |     92.14% |     92.14% |     92.14%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    1097185 |    1089629 |    1092453 |    1092340 |    1091585 |    1091841
    num cache misses                 |     349312 |     353041 |     352507 |     352037 |     350770 |     350593
    miss rate                        |     31.84% |     32.40% |     32.27% |     32.23% |     32.13% |     32.11%
    mpki                             |      35.00 |      35.62 |      35.48 |      35.43 |      35.33 |      35.30
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    4596310 |    4564779 |    4576681 |    4576183 |    4573023 |    4574100
    num cache misses                 |     142743 |     274466 |     300508 |     305244 |     296685 |     307652
    miss rate                        |      3.11% |      6.01% |      6.57% |      6.67% |      6.49% |      6.73%
    mpki                             |      14.30 |      27.69 |      30.24 |      30.72 |      29.88 |      30.98
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |     492091 |     627538 |     653046 |     657313 |     647487 |     658278
    num cache misses                 |      12237 |      15385 |      16451 |      16905 |      16264 |      17019
    miss rate                        |      2.49% |      2.45% |      2.52% |      2.57% |      2.51% |      2.59%
    mpki                             |       1.23 |       1.55 |       1.66 |       1.70 |       1.64 |       1.71
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      12274 |      15419 |      16485 |      16939 |      16298 |      17053
    num cache misses                 |       3219 |       3152 |       3153 |       3153 |       3152 |       3153
    miss rate                        |     26.23% |     20.44% |     19.13% |     18.61% |     19.34% |     18.49%
    mpki                             |       0.32 |       0.32 |       0.32 |       0.32 |       0.32 |       0.32
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      18982 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      68.82 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      15.39 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       1364 |       1373 |       1404 |       1404 |       1401 |       1397
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
