                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    mpki                             |       0.25 |       0.26 |       0.26 |       0.25 |       0.22 |       0.21 |       0.26 |       0.23 |       0.26 |       0.26 |       0.22 |       0.26 |       0.26 |       0.26 |       0.25 |       0.23
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      17106 |      17562 |      17752 |      17016 |      14267 |      14024 |      17359 |      15635 |      17612 |      17546 |      14731 |      17319 |      17236 |      17180 |      16778 |      15922
    num cache misses                 |      14787 |      15372 |      15524 |      14929 |      11974 |      11965 |      15012 |      13256 |      15405 |      15355 |      12516 |      15168 |      15098 |      14833 |      14611 |      13455
    miss rate                        |     86.44% |     87.53% |     87.45% |     87.74% |     83.93% |     85.32% |     86.48% |     84.78% |     87.47% |     87.51% |     84.96% |     87.58% |     87.60% |     86.34% |     87.08% |     84.51%
    mpki                             |       0.37 |       0.38 |       0.39 |       0.37 |       0.30 |       0.30 |       0.37 |       0.33 |       0.38 |       0.38 |       0.31 |       0.38 |       0.38 |       0.37 |       0.36 |       0.34
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      14819 |      15404 |      15554 |      14961 |      12010 |      12003 |      15043 |      13289 |      15437 |      15386 |      12551 |      15199 |      15130 |      14866 |      14645 |      13487
    num cache misses                 |       2743 |       2752 |       2760 |       2750 |       2697 |       2756 |       2761 |       2721 |       2762 |       2762 |       2705 |       2757 |       2749 |       2755 |       2758 |       2726
    miss rate                        |     18.51% |     17.87% |     17.74% |     18.38% |     22.46% |     22.96% |     18.35% |     20.48% |     17.89% |     17.95% |     21.55% |     18.14% |     18.17% |     18.53% |     18.83% |     20.21%
