                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   60121599 |   60121628 |   60121490 |   60121287 |   60121301 |   60121280 |   60121253 |   60121055 |   60120950 |   60120864 |   60120843 |   60121592
  Cycles                             |  240421174 |  240421174 |  240421174 |  240421174 |  240421174 |  240421174 |  240421174 |  240421174 |  240421174 |  240421174 |  240421174 |  240421174
  IPC                                |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25
  Time (ns)                          |   90383900 |   90383900 |   90383900 |   90383900 |   90383900 |   90383900 |   90383900 |   90383900 |   90383900 |   90383900 |   90383900 |   90383900
  Idle time (ns)                     |        -52 |        -99 |        -79 |         19 |        -52 |        -85 |        -89 |        -79 |        -12 |        -12 |        -21 |         21
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10022009 |   10022011 |   10021996 |   10021973 |   10021973 |   10021973 |   10021969 |   10021946 |   10021935 |   10021930 |   10021926 |   10022009
  num incorrect                      |       1515 |       1515 |       1500 |       1477 |       1479 |       1476 |       1475 |       1465 |       1454 |       1448 |       1448 |       1514
  misprediction rate                 |      0.02% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02%
  mpki                               |       0.03 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.03
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15330 |      15333 |      15309 |      15266 |      15268 |      15265 |      15259 |      15223 |      15198 |      15184 |      15184 |      15328
    num misses                       |         51 |         52 |         51 |         50 |         50 |         50 |         50 |         49 |         49 |         49 |         49 |         51
    miss rate                        |      0.33% |      0.34% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.32% |      0.32% |      0.32% |      0.32% |      0.33%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      40243 |      40208 |      40196 |      40097 |      40102 |      40095 |      40071 |      39987 |      39953 |      39919 |      39913 |      40247
    num misses                       |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         72 |         72 |         72 |         72 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        124 |        125 |        124 |        123 |        123 |        123 |        123 |        121 |        121 |        121 |        121 |        124
    num misses                       |        122 |        123 |        122 |        121 |        121 |        121 |        121 |        119 |        119 |        119 |        119 |        122
    miss rate                        |     98.39% |     98.40% |     98.39% |     98.37% |     98.37% |     98.37% |     98.37% |     98.35% |     98.35% |     98.35% |     98.35% |     98.39%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15330 |      15333 |      15309 |      15266 |      15268 |      15265 |      15259 |      15223 |      15198 |      15184 |      15184 |      15328
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      40243 |      40208 |      40196 |      40097 |      40102 |      40095 |      40071 |      39987 |      39953 |      39919 |      39913 |      40247
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
