                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |    9878674 |    9877467 |    9739701 |    9751232 |    9893147 |    9763424 |    9774532 |    9793574 |    9873295 |    9892857 |    9823239 |    9881056
  Cycles                             |   65415518 |   65415518 |   65415518 |   65415518 |   65415518 |   65415518 |   65415518 |   65415518 |   65415518 |   65415518 |   65415518 |   65415518
  IPC                                |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
  Time (ns)                          |   24592300 |   24592300 |   24592300 |   24592300 |   24592300 |   24592300 |   24592300 |   24592300 |   24592300 |   24592300 |   24592300 |   24592300
  Idle time (ns)                     |         38 |        -14 |        140 |        117 |        -50 |        165 |        112 |        -14 |        -15 |        796 |        -50 |         17
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     286940 |     286905 |     283086 |     283408 |     287362 |     283745 |     284054 |     284581 |     286790 |     287338 |     285403 |     287006
  num incorrect                      |        974 |        974 |        974 |        974 |       1015 |        974 |        974 |        974 |        974 |        989 |        974 |        974
  misprediction rate                 |      0.34% |      0.34% |      0.34% |      0.34% |      0.35% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34%
  mpki                               |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1084637 |    1084503 |    1069465 |    1070726 |    1086228 |    1072055 |    1073270 |    1075347 |    1084049 |    1086194 |    1078585 |    1084898
    num misses                       |         40 |         40 |         40 |         40 |         43 |         40 |         40 |         40 |         40 |         41 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4558014 |    4557453 |    4494074 |    4499383 |    4564629 |    4504991 |    4510103 |    4518863 |    4555545 |    4564521 |    4532504 |    4559117
    num misses                       |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         72 |         72 |         72 |         72 |         75 |         72 |         72 |         72 |         72 |         73 |         72 |         72
    num misses                       |         72 |         72 |         72 |         72 |         75 |         72 |         72 |         72 |         72 |         73 |         72 |         72
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1084637 |    1084503 |    1069465 |    1070726 |    1086228 |    1072055 |    1073270 |    1075347 |    1084049 |    1086194 |    1078585 |    1084898
    num cache misses                 |     368648 |     361868 |     356149 |     354369 |     356846 |     351622 |     350833 |     350427 |     352615 |     352757 |     349856 |     351339
    miss rate                        |     33.99% |     33.37% |     33.30% |     33.10% |     32.85% |     32.80% |     32.69% |     32.59% |     32.53% |     32.48% |     32.44% |     32.38%
    mpki                             |      37.32 |      36.64 |      36.57 |      36.34 |      36.07 |      36.01 |      35.89 |      35.78 |      35.71 |      35.66 |      35.62 |      35.56
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4558014 |    4557453 |    4494074 |    4499383 |    4564629 |    4504991 |    4510103 |    4518863 |    4555545 |    4564521 |    4532504 |    4559117
    num cache misses                 |    1509874 |    1506777 |    1584377 |    1589030 |    1523601 |    1594661 |    1588871 |    1563430 |    1498159 |    1541239 |    1513225 |    1522099
    miss rate                        |     33.13% |     33.06% |     35.25% |     35.32% |     33.38% |     35.40% |     35.23% |     34.60% |     32.89% |     33.77% |     33.39% |     33.39%
