                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    6707263 |    6465021 |    6470987 |    6546143 |    6467532 |    6471099 |    6483092 |    6475489 |    6538235 |    6479354 |    6518566 |    6473946 |    6476991 |    6492211 |    6728828 |    6472437
  Cycles                             |   64958264 |   64958264 |   64958264 |   64958264 |   64958264 |   64958264 |   64958264 |   64958264 |   64958264 |   64958264 |   64958264 |   64958264 |   64958264 |   64958264 |   64958264 |   64958264
  IPC                                |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
  Time (ns)                          |   24420400 |   24420400 |   24420400 |   24420400 |   24420400 |   24420400 |   24420400 |   24420400 |   24420400 |   24420400 |   24420400 |   24420400 |   24420400 |   24420400 |   24420400 |   24420400
  Idle time (ns)                     |        197 |        -11 |        281 |        156 |         95 |        156 |         81 |        156 |         18 |        316 |        215 |        236 |        -11 |        -83 |        -83 |        182
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     259200 |     254200 |     254313 |     256017 |     254255 |     254314 |     254457 |     254373 |     255862 |     254417 |     255473 |     254354 |     254391 |     255042 |     259678 |     254334
  num incorrect                      |       3911 |       3889 |       3891 |       3911 |       3890 |       3891 |       3894 |       3892 |       3911 |       3894 |       3911 |       3891 |       3892 |       3901 |       3961 |       3891
  misprediction rate                 |      1.49% |      1.51% |      1.51% |      1.50% |      1.51% |      1.51% |      1.51% |      1.51% |      1.51% |      1.51% |      1.51% |      1.51% |      1.51% |      1.51% |      1.50% |      1.51%
  mpki                               |       0.58 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.59 |       0.60
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     678914 |     659663 |     660136 |     666424 |     659871 |     660143 |     660990 |     660461 |     665812 |     660732 |     664287 |     660352 |     660568 |     662293 |     680639 |     660242
    num misses                       |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         62 |         60
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    3639081 |    3509289 |    3512707 |    3555268 |    3510732 |    3512771 |    3519633 |    3515285 |    3551151 |    3517496 |    3540927 |    3514402 |    3516139 |    3526053 |    3650237 |    3513541
    num misses                       |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        107 |        101
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        161 |        161 |        161 |        161 |        161 |        161 |        161 |        161 |        161 |        161 |        161 |        161 |        161 |        161 |        169 |        161
    num misses                       |        146 |        146 |        146 |        146 |        146 |        146 |        146 |        146 |        146 |        146 |        146 |        146 |        146 |        146 |        147 |        146
    miss rate                        |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     86.98% |     90.68%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     678914 |     659663 |     660136 |     666424 |     659871 |     660143 |     660990 |     660461 |     665812 |     660732 |     664287 |     660352 |     660568 |     662293 |     680639 |     660242
    num cache misses                 |     385854 |     414762 |     409326 |     403197 |     411473 |     407899 |     406081 |     406096 |     402202 |     404004 |     406314 |     405011 |     405599 |     403845 |     374093 |     404136
    miss rate                        |     56.83% |     62.87% |     62.01% |     60.50% |     62.36% |     61.79% |     61.44% |     61.49% |     60.41% |     61.14% |     61.17% |     61.33% |     61.40% |     60.98% |     54.96% |     61.21%
    mpki                             |      57.53 |      64.15 |      63.26 |      61.59 |      63.62 |      63.03 |      62.64 |      62.71 |      61.52 |      62.35 |      62.33 |      62.56 |      62.62 |      62.20 |      55.60 |      62.44
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3639081 |    3509289 |    3512707 |    3555268 |    3510732 |    3512771 |    3519633 |    3515285 |    3551151 |    3517496 |    3540927 |    3514402 |    3516139 |    3526053 |    3650237 |    3513541
    num cache misses                 |     948435 |     965156 |     962851 |     954871 |     969383 |     961825 |     960429 |     958142 |     955686 |     959073 |     960382 |     963805 |     965407 |     958418 |     945175 |     959442
    miss rate                        |     26.06% |     27.50% |     27.41% |     26.86% |     27.61% |     27.38% |     27.29% |     27.26% |     26.91% |     27.27% |     27.12% |     27.42% |     27.46% |     27.18% |     25.89% |     27.31%
    mpki                             |     141.40 |     149.29 |     148.80 |     145.87 |     149.88 |     148.63 |     148.14 |     147.96 |     146.17 |     148.02 |     147.33 |     148.87 |     149.05 |     147.63 |     140.47 |     148.24
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1334313 |    1379936 |    1372195 |    1358089 |    1380875 |    1369743 |    1366529 |    1364259 |    1357908 |    1363096 |    1366716 |    1368834 |    1371025 |    1362282 |    1319296 |    1363595
    num cache misses                 |    1208567 |    1250144 |    1249574 |    1235200 |    1255565 |    1246689 |    1246279 |    1240144 |    1237065 |    1243736 |    1244096 |    1251579 |    1251012 |    1241650 |    1196634 |    1241287
    miss rate                        |     90.58% |     90.59% |     91.06% |     90.95% |     90.93% |     91.02% |     91.20% |     90.90% |     91.10% |     91.24% |     91.03% |     91.43% |     91.25% |     91.14% |     90.70% |     91.03%
    mpki                             |     180.19 |     193.37 |     193.10 |     188.69 |     194.13 |     192.65 |     192.24 |     191.51 |     189.20 |     191.95 |     190.85 |     193.33 |     193.15 |     191.25 |     177.84 |     191.78
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1208617 |    1250163 |    1249593 |    1235226 |    1255584 |    1246708 |    1246298 |    1240165 |    1237091 |    1243755 |    1244119 |    1251597 |    1251031 |    1241670 |    1196677 |    1241305
    num cache misses                 |       4727 |       4776 |       4752 |       4746 |       4781 |       4759 |       4719 |       4760 |       4781 |       4707 |       4757 |       4749 |       4752 |       4742 |       4828 |       4704
    miss rate                        |      0.39% |      0.38% |      0.38% |      0.38% |      0.38% |      0.38% |      0.38% |      0.38% |      0.39% |      0.38% |      0.38% |      0.38% |      0.38% |      0.38% |      0.40% |      0.38%
    mpki                             |       0.70 |       0.74 |       0.73 |       0.73 |       0.74 |       0.74 |       0.73 |       0.74 |       0.73 |       0.73 |       0.73 |       0.73 |       0.73 |       0.73 |       0.72 |       0.73
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      78210 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      72.46 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      19.04 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       3057 |       3116 |       3111 |       3072 |       3130 |       3120 |       3094 |       3121 |       3084 |       3055 |       3094 |       3079 |       3097 |       3062 |       3102 |       3042
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
