                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14    
  Instructions                       |    50121026 |    50121665 |    50111160 |    50111988 |    50109348 |    50111663 |    50112829 |    50116600 |    50104781 |    50121308 |    50113795 |    50073292 |    50115788 |    50114208 |    50101182
  Cycles                             |  1568263648 |  1568263648 |  1568263648 |  1568263648 |  1568263648 |  1568263648 |  1568263648 |  1568263648 |  1568263648 |  1568263648 |  1568263648 |  1568263648 |  1568263648 |  1568263648 |  1568263648
  IPC                                |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03
  Time (ns)                          |   589572800 |   589572800 |   589572800 |   589572800 |   589572800 |   589572800 |   589572800 |   589572800 |   589572800 |   589572800 |   589572800 |   589572800 |   589572800 |   589572800 |   589572800
  Idle time (ns)                     |         305 |         -71 |          79 |         -71 |         305 |         217 |         469 |         152 |          31 |          44 |         216 |          44 |          79 |         293 |         293
  Idle time (%)                      |        0.0% |       -0.0% |        0.0% |       -0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    10021938 |    10022009 |    10019994 |    10020160 |    10019632 |    10020094 |    10020328 |    10021082 |    10018718 |    10021971 |    10020521 |    10012420 |    10020920 |    10020604 |    10017998
  num incorrect                      |        1468 |        1517 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1482 |        1441 |        1441 |        1441 |        1441 |        1441
  misprediction rate                 |       0.01% |       0.02% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01%
  mpki                               |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |       15217 |       15334 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15270 |       15165 |       15165 |       15165 |       15165 |       15165
    num misses                       |          49 |          52 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          50 |          48 |          48 |          48 |          48 |          48
    miss rate                        |       0.32% |       0.34% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.33% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32%
