                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6    
  Instructions                       |      90382 |      88548 |      88800 |      90539 |      90493 |      90065 |      90290
  Cycles                             |     530936 |     530936 |     530936 |     530936 |     530936 |     530936 |     530936
  IPC                                |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17
  Time (ns)                          |     199600 |     199600 |     199600 |     199600 |     199600 |     199600 |     199600
  Idle time (ns)                     |        103 |         15 |         49 |         -2 |        784 |         -2 |        684
  Idle time (%)                      |       0.1% |       0.0% |       0.0% |      -0.0% |       0.4% |      -0.0% |       0.3%
Branch predictor stats               |            |            |            |            |            |            |           
  num correct                        |      19626 |      19278 |      19329 |      19646 |      19644 |      19582 |      19620
  num incorrect                      |       1070 |       1046 |       1046 |       1085 |       1082 |       1046 |       1058
  misprediction rate                 |      5.17% |      5.15% |      5.13% |      5.23% |      5.22% |      5.07% |      5.12%
  mpki                               |      11.84 |      11.81 |      11.78 |      11.98 |      11.96 |      11.61 |      11.72
TLB Summary                          |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |           
    num accesses                     |       4836 |       4798 |       4798 |       4859 |       4854 |       4798 |       4818
    num misses                       |         44 |         42 |         42 |         45 |         44 |         42 |         42
    miss rate                        |      0.91% |      0.88% |      0.88% |      0.93% |      0.91% |      0.88% |      0.87%
    mpki                             |       0.49 |       0.47 |       0.47 |       0.50 |       0.49 |       0.47 |       0.47
  D-TLB                              |            |            |            |            |            |            |           
    num accesses                     |      69667 |      67574 |      67879 |      69702 |      69732 |      69398 |      69627
    num misses                       |         21 |         21 |         21 |         21 |         21 |         21 |         21
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.23 |       0.24 |       0.24 |       0.23 |       0.23 |       0.23 |       0.23
  L2 TLB                             |            |            |            |            |            |            |           
    num accesses                     |         65 |         63 |         63 |         66 |         65 |         63 |         63
    num misses                       |         65 |         63 |         63 |         66 |         65 |         63 |         63
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.72 |       0.71 |       0.71 |       0.73 |       0.72 |       0.70 |       0.70
Cache Summary                        |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |           
    num cache accesses               |       4836 |       4798 |       4798 |       4859 |       4854 |       4798 |       4818
    num cache misses                 |       1541 |       1420 |       1441 |       1482 |       1552 |       1493 |       1561
    miss rate                        |     31.87% |     29.60% |     30.03% |     30.50% |     31.97% |     31.12% |     32.40%
    mpki                             |      17.05 |      16.04 |      16.23 |      16.37 |      17.15 |      16.58 |      17.29
  Cache L1-D                         |            |            |            |            |            |            |           
    num cache accesses               |      69667 |      67574 |      67879 |      69702 |      69732 |      69398 |      69627
    num cache misses                 |       1126 |       1080 |       1085 |       1125 |       1138 |       1114 |       1127
    miss rate                        |      1.62% |      1.60% |      1.60% |      1.61% |      1.63% |      1.61% |      1.62%
    mpki                             |      12.46 |      12.20 |      12.22 |      12.43 |      12.58 |      12.37 |      12.48
  Cache L2                           |            |            |            |            |            |            |           
    num cache accesses               |       2685 |       2516 |       2543 |       2626 |       2712 |       2623 |       2704
    num cache misses                 |       1005 |        972 |        965 |       1015 |       1008 |        992 |       1001
    miss rate                        |     37.43% |     38.63% |     37.95% |     38.65% |     37.17% |     37.82% |     37.02%
    mpki                             |      11.12 |      10.98 |      10.87 |      11.21 |      11.14 |      11.01 |      11.09
  Cache L3                           |            |            |            |            |            |            |           
    num cache accesses               |       1026 |        991 |        984 |       1036 |       1032 |       1011 |       1020
    num cache misses                 |        737 |        712 |        712 |        761 |        759 |        712 |        728
    miss rate                        |     71.83% |     71.85% |     72.36% |     73.46% |     73.55% |     70.43% |     71.37%
    mpki                             |       8.15 |       8.04 |       8.02 |       8.41 |       8.39 |       7.91 |       8.06
DRAM summary                         |            |            |            |            |            |            |           
  num dram accesses                  |       5121 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      97.50 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      44.07 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     21.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |           
  num loads from dram                |        168 |        161 |        160 |        178 |        178 |        164 |        169
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0
