                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   60121628 |   60121035 |   60120875 |   60113476
  Cycles                             |   80676736 |   80676736 |   80676736 |   80676736
  IPC                                |       0.75 |       0.75 |       0.75 |       0.75
  Time (ns)                          |   30329600 |   30329600 |   30329600 |   30329600
  Idle time (ns)                     |       -122 |        -68 |         43 |       -122
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |   10022011 |   10021944 |   10021932 |   10020720
  num incorrect                      |       1515 |       1464 |       1449 |       1437
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |      15333 |      15220 |      15186 |      15164
    num misses                       |         52 |         49 |         49 |         48
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |      40208 |      39961 |      39922 |      39845
    num misses                       |         73 |         72 |         72 |         72
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        125 |        121 |        121 |        120
    num misses                       |        123 |        119 |        119 |        118
    miss rate                        |     98.40% |     98.35% |     98.35% |     98.33%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      15333 |      15220 |      15186 |      15164
    num cache misses                 |       1593 |       1622 |       1570 |       1512
    miss rate                        |     10.39% |     10.66% |     10.34% |      9.97%
    mpki                             |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      40208 |      39961 |      39922 |      39845
    num cache misses                 |       2690 |       2647 |       2656 |       2614
    miss rate                        |      6.69% |      6.62% |      6.65% |      6.56%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04
  Cache L2                           |            |            |            |           
    num cache accesses               |       4321 |       4306 |       4263 |       4162
    num cache misses                 |       2816 |       2753 |       2734 |       2724
    miss rate                        |     65.17% |     63.93% |     64.13% |     65.45%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05
  Cache L3                           |            |            |            |           
    num cache accesses               |       2855 |       2791 |       2772 |       2761
    num cache misses                 |       2477 |       2430 |       2427 |       2411
    miss rate                        |     86.76% |     87.07% |     87.55% |     87.32%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9745 |          0 |          0 |          0
  average dram access latency (ns)   |      68.29 |        inf |        inf |        inf
  average dram queueing delay        |      14.86 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       1129 |       1124 |       1122 |       1123
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
