                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   50121633 |   50121332 |   50115232 |   50121334
  Cycles                             |  170664536 |  170664536 |  170664536 |  170664536
  IPC                                |       0.29 |       0.29 |       0.29 |       0.29
  Time (ns)                          |   64159600 |   64159600 |   64159600 |   64159600
  Idle time (ns)                     |       -156 |        -83 |       -156 |         63
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |   10022009 |   10021975 |   10020811 |   10021975
  num incorrect                      |       1517 |       1484 |       1441 |       1484
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |      15334 |      15274 |      15165 |      15275
    num misses                       |         52 |         50 |         48 |         50
    miss rate                        |      0.34% |      0.33% |      0.32% |      0.33%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   60040200 |   60040051 |   60033228 |   60040101
    num misses                       |        128 |        128 |        126 |        128
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        180 |        178 |        174 |        178
    num misses                       |        121 |        119 |        116 |        119
    miss rate                        |     67.22% |     66.85% |     66.67% |     66.85%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      15334 |      15274 |      15165 |      15275
    num cache misses                 |       1594 |       1610 |       1417 |       1606
    miss rate                        |     10.40% |     10.54% |      9.34% |     10.51%
    mpki                             |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   60040200 |   60040051 |   60033228 |   60040101
    num cache misses                 |       2634 |       2631 |       2555 |       2631
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05
  Cache L2                           |            |            |            |           
    num cache accesses               |       4264 |       4277 |       4007 |       4271
    num cache misses                 |       2799 |       2762 |       2708 |       2765
    miss rate                        |     65.64% |     64.58% |     67.58% |     64.74%
    mpki                             |       0.06 |       0.06 |       0.05 |       0.06
  Cache L3                           |            |            |            |           
    num cache accesses               |       2837 |       2799 |       2744 |       2802
    num cache misses                 |       2476 |       2443 |       2410 |       2443
    miss rate                        |     87.28% |     87.28% |     87.83% |     87.19%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9772 |          0 |          0 |          0
  average dram access latency (ns)   |      68.70 |        inf |        inf |        inf
  average dram queueing delay        |      15.27 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       1127 |       1123 |       1119 |       1121
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
