                                     | Core 0     | Core 1    
  Instructions                       |  108033151 |  107533153
  Cycles                             |   83367060 |   83367060
  IPC                                |       1.30 |       1.29
  Time (ns)                          |   31341000 |   31341000
  Idle time (ns)                     |         -5 |         -5
  Idle time (%)                      |      -0.0% |      -0.0%
Branch predictor stats               |            |           
  num correct                        |   17101784 |   17018183
  num incorrect                      |     281892 |     279943
  misprediction rate                 |      1.62% |      1.62%
  mpki                               |       2.61 |       2.60
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |   16653068 |   16585309
    num misses                       |        152 |        138
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   39205539 |   39033260
    num misses                       |       1052 |       1034
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01
  L2 TLB                             |            |           
    num accesses                     |       1204 |       1172
    num misses                       |        363 |        354
    miss rate                        |     30.15% |     30.20%
    mpki                             |       0.00 |       0.00
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |   16653068 |   16585309
    num cache misses                 |     466492 |     466377
    miss rate                        |      2.80% |      2.81%
    mpki                             |       4.32 |       4.34
  Cache L1-D                         |            |           
    num cache accesses               |   39205539 |   39033260
    num cache misses                 |     228025 |     226122
    miss rate                        |      0.58% |      0.58%
    mpki                             |       2.11 |       2.10
  Cache L2                           |            |           
    num cache accesses               |     695091 |     693063
    num cache misses                 |      48920 |      48000
    miss rate                        |      7.04% |      6.93%
    mpki                             |       0.45 |       0.45
  Cache L3                           |            |           
    num cache accesses               |      49501 |      48571
    num cache misses                 |      10579 |      10461
    miss rate                        |     21.37% |     21.54%
    mpki                             |       0.10 |       0.10
DRAM summary                         |            |           
  num dram accesses                  |      21040 |          0
  average dram access latency (ns)   |      61.22 |        inf
  average dram queueing delay        |       7.79 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       3897 |       4378
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
