                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |   60120876 |   60121634 |   60096154 |   60102703 |   60100006 |   60097945 |   60108157 |   60120942 |   60096715 |   60109123 |   60111406 |   60097177 |   60095554
  Cycles                             |  261122890 |  261122890 |  261122890 |  261122890 |  261122890 |  261122890 |  261122890 |  261122890 |  261122890 |  261122890 |  261122890 |  261122890 |  261122890
  IPC                                |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23
  Time (ns)                          |   98166500 |   98166500 |   98166500 |   98166500 |   98166500 |   98166500 |   98166500 |   98166500 |   98166500 |   98166500 |   98166500 |   98166500 |   98166500
  Idle time (ns)                     |         37 |        -33 |         83 |         37 |         67 |        -33 |        123 |       1265 |        -33 |         26 |        103 |         26 |        123
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10021929 |   10022010 |   10017825 |   10018917 |   10018467 |   10018124 |   10019826 |   10021931 |   10017918 |   10019987 |   10020367 |   10017996 |   10017725
  num incorrect                      |       1452 |       1516 |       1440 |       1440 |       1440 |       1440 |       1440 |       1456 |       1440 |       1440 |       1440 |       1440 |       1440
  misprediction rate                 |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15186 |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15196 |      15164 |      15164 |      15164 |      15164 |      15164
    num misses                       |         49 |         52 |         48 |         48 |         48 |         48 |         48 |         49 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.32% |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      39920 |      40211 |      39845 |      39845 |      39845 |      39845 |      39845 |      39944 |      39845 |      39845 |      39845 |      39845 |      39845
    num misses                       |        158 |        159 |        158 |        158 |        158 |        158 |        158 |        158 |        158 |        158 |        158 |        158 |        158
    miss rate                        |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        207 |        211 |        206 |        206 |        206 |        206 |        206 |        207 |        206 |        206 |        206 |        206 |        206
    num misses                       |        123 |        127 |        122 |        122 |        122 |        122 |        122 |        123 |        122 |        122 |        122 |        122 |        122
    miss rate                        |     59.42% |     60.19% |     59.22% |     59.22% |     59.22% |     59.22% |     59.22% |     59.42% |     59.22% |     59.22% |     59.22% |     59.22% |     59.22%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15186 |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15196 |      15164 |      15164 |      15164 |      15164 |      15164
    num cache misses                 |       5816 |       5638 |       6578 |       6658 |       6352 |       6520 |       6488 |       5679 |       6599 |       5973 |       6107 |       6752 |       6323
    miss rate                        |     38.30% |     36.77% |     43.38% |     43.91% |     41.89% |     43.00% |     42.79% |     37.37% |     43.52% |     39.39% |     40.27% |     44.53% |     41.70%
    mpki                             |       0.10 |       0.09 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.09 |       0.11 |       0.10 |       0.10 |       0.11 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      39920 |      40211 |      39845 |      39845 |      39845 |      39845 |      39845 |      39944 |      39845 |      39845 |      39845 |      39845 |      39845
    num cache misses                 |       8142 |       8008 |       8526 |       8714 |       8545 |       8589 |       8565 |       7960 |       8584 |       8333 |       8480 |       8750 |       8468
    miss rate                        |     20.40% |     19.91% |     21.40% |     21.87% |     21.45% |     21.56% |     21.50% |     19.93% |     21.54% |     20.91% |     21.28% |     21.96% |     21.25%
    mpki                             |       0.14 |       0.13 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.13 |       0.14 |       0.14 |       0.14 |       0.15 |       0.14
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      13990 |      13679 |      15136 |      15403 |      14929 |      15140 |      15084 |      13672 |      15214 |      14336 |      14618 |      15533 |      14822
    num cache misses                 |      11312 |      11196 |      11690 |      12089 |      12105 |      12063 |      11981 |      11096 |      11766 |      11731 |      12035 |      12051 |      11717
    miss rate                        |     80.86% |     81.85% |     77.23% |     78.48% |     81.08% |     79.68% |     79.43% |     81.16% |     77.34% |     81.83% |     82.33% |     77.58% |     79.05%
    mpki                             |       0.19 |       0.19 |       0.19 |       0.20 |       0.20 |       0.20 |       0.20 |       0.18 |       0.20 |       0.20 |       0.20 |       0.20 |       0.19
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      11347 |      11232 |      11724 |      12120 |      12137 |      12095 |      12013 |      11132 |      11798 |      11765 |      12067 |      12083 |      11749
    num cache misses                 |       2605 |       2651 |       2592 |       2599 |       2599 |       2593 |       2605 |       2603 |       2590 |       2599 |       2585 |       2588 |       2592
