                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |   40121208 |   40121129 |   40121759
  Cycles                             |   40113864 |   40113864 |   40113864
  IPC                                |       1.00 |       1.00 |       1.00
  Time (ns)                          |   15080400 |   15080400 |   15080400
  Idle time (ns)                     |        -22 |        -22 |        -25
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |           
  num correct                        |   10021955 |   10021944 |   10022006
  num incorrect                      |       1473 |       1470 |       1519
  misprediction rate                 |      0.01% |      0.01% |      0.02%
  mpki                               |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |   20015246 |   20015230 |   20015334
    num misses                       |         49 |         49 |         52
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |           
    num accesses                     |      40036 |      39995 |      40256
    num misses                       |         73 |         73 |         74
    miss rate                        |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |           
    num accesses                     |        122 |        122 |        126
    num misses                       |        118 |        118 |        122
    miss rate                        |     96.72% |     96.72% |     96.83%
    mpki                             |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |   20015246 |   20015230 |   20015334
    num cache misses                 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |           
    num cache accesses               |      40036 |      39995 |      40256
    num cache misses                 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |           
    num cache accesses               |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |           
    num cache accesses               |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |           
  num dram accesses                  |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
