                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |  106034551 |  102354786 |  108033151 |  102166893 |  105482716 |  104718339 |  103844301 |  102546355 |  102215156
  Cycles                             |  298978680 |  298978680 |  298978680 |  298978680 |  298978680 |  298978680 |  298978680 |  298978680 |  298978680
  IPC                                |       0.35 |       0.34 |       0.36 |       0.34 |       0.35 |       0.35 |       0.35 |       0.34 |       0.34
  Time (ns)                          |  112398000 |  112398000 |  112398000 |  112398000 |  112398000 |  112398000 |  112398000 |  112398000 |  112398000
  Idle time (ns)                     |         18 |         29 |        -16 |         73 |        155 |          5 |         54 |        -16 |         54
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |   16784080 |   16180405 |   17101784 |   16149485 |   16693999 |   16568482 |   16424941 |   16211913 |   16157468
  num incorrect                      |     275787 |     263652 |     281892 |     263038 |     273926 |     271414 |     268536 |     264277 |     263195
  misprediction rate                 |      1.62% |      1.60% |      1.62% |      1.60% |      1.61% |      1.61% |      1.61% |      1.60% |      1.60%
  mpki                               |       2.60 |       2.58 |       2.61 |       2.57 |       2.60 |       2.59 |       2.59 |       2.58 |       2.57
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |   16346563 |   15790864 |   16653068 |   15762571 |   16262543 |   16147309 |   16015550 |   15819865 |   15769791
    num misses                       |        138 |        138 |        152 |        138 |        138 |        138 |        138 |        138 |        138
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |   38483099 |   37101947 |   39205539 |   37031266 |   38276582 |   37989224 |   37661083 |   37173643 |   37049391
    num misses                       |       1029 |       1028 |       1051 |       1028 |       1029 |       1029 |       1029 |       1029 |       1028
