                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |   60055450 |   60052981 |   60121650 |   60101869 |   60060784 |   60072412 |   60057145 |   60061276 |   60054827 |   60068533 |   60052222 |   60053063 |   60051001
  Cycles                             |  260831886 |  260831886 |  260831886 |  260831886 |  260831886 |  260831886 |  260831886 |  260831886 |  260831886 |  260831886 |  260831886 |  260831886 |  260831886
  IPC                                |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23
  Time (ns)                          |   98057100 |   98057100 |   98057100 |   98057100 |   98057100 |   98057100 |   98057100 |   98057100 |   98057100 |   98057100 |   98057100 |   98057100 |   98057100
  Idle time (ns)                     |        104 |         75 |        -12 |        104 |         45 |         62 |        -12 |        104 |         45 |         75 |        138 |        165 |         54
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10011040 |   10010629 |   10022009 |   10018776 |   10011929 |   10013867 |   10011323 |   10012011 |   10010936 |   10013221 |   10010502 |   10010642 |   10010299
  num incorrect                      |       1441 |       1441 |       1517 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441
  misprediction rate                 |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15164 |      15164 |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164
    num misses                       |         48 |         48 |         52 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.32% |      0.32% |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      39846 |      39846 |      40223 |      39846 |      39846 |      39846 |      39846 |      39846 |      39846 |      39846 |      39846 |      39846 |      39846
    num misses                       |         75 |         75 |         76 |         75 |         75 |         75 |         75 |         75 |         75 |         75 |         75 |         75 |         75
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        123 |        123 |        128 |        123 |        123 |        123 |        123 |        123 |        123 |        123 |        123 |        123 |        123
    num misses                       |        118 |        118 |        123 |        118 |        118 |        118 |        118 |        118 |        118 |        118 |        118 |        118 |        118
    miss rate                        |     95.93% |     95.93% |     96.09% |     95.93% |     95.93% |     95.93% |     95.93% |     95.93% |     95.93% |     95.93% |     95.93% |     95.93% |     95.93%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15164 |      15164 |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164
    num cache misses                 |       6924 |       6702 |       5059 |       5328 |       6680 |       6289 |       6911 |       6629 |       6704 |       6162 |       7006 |       6826 |       6869
    miss rate                        |     45.66% |     44.20% |     32.99% |     35.14% |     44.05% |     41.47% |     45.58% |     43.72% |     44.21% |     40.64% |     46.20% |     45.01% |     45.30%
    mpki                             |       0.12 |       0.11 |       0.08 |       0.09 |       0.11 |       0.10 |       0.12 |       0.11 |       0.11 |       0.10 |       0.12 |       0.11 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      39846 |      39846 |      40223 |      39846 |      39846 |      39846 |      39846 |      39846 |      39846 |      39846 |      39846 |      39846 |      39846
    num cache misses                 |       9103 |       9001 |       7542 |       7970 |       9056 |       8647 |       9153 |       8895 |       9078 |       8483 |       9211 |       9081 |       9116
    miss rate                        |     22.85% |     22.59% |     18.75% |     20.00% |     22.73% |     21.70% |     22.97% |     22.32% |     22.78% |     21.29% |     23.12% |     22.79% |     22.88%
    mpki                             |       0.15 |       0.15 |       0.13 |       0.13 |       0.15 |       0.14 |       0.15 |       0.15 |       0.15 |       0.14 |       0.15 |       0.15 |       0.15
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      16063 |      15740 |      12645 |      13336 |      15776 |      14973 |      16101 |      15564 |      15820 |      14685 |      16255 |      15947 |      16022
    num cache misses                 |      13446 |      13142 |      10929 |      11342 |      13235 |      12624 |      13620 |      13138 |      13396 |      12457 |      13475 |      13284 |      13270
    miss rate                        |     83.71% |     83.49% |     86.43% |     85.05% |     83.89% |     84.31% |     84.59% |     84.41% |     84.68% |     84.83% |     82.90% |     83.30% |     82.82%
    mpki                             |       0.22 |       0.22 |       0.18 |       0.19 |       0.22 |       0.21 |       0.23 |       0.22 |       0.22 |       0.21 |       0.22 |       0.22 |       0.22
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      13483 |      13179 |      10976 |      11383 |      13276 |      12665 |      13658 |      13179 |      13434 |      12499 |      13513 |      13324 |      13309
    num cache misses                 |       2642 |       2635 |       2682 |       2613 |       2649 |       2639 |       2649 |       2643 |       2651 |       2637 |       2648 |       2637 |       2646
